Positions Over Time - Motilal Oswal Multi Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Shaily Engineer.,Plastic products,5.489847,5.36516,8.75303,8.60625,9.24276,10.19747,9.38869,9.34692,9.63906,7.22567,7.71027
Equity,Kalyan Jewellers,"Diamond, Gems and Jewellery",5.05985,6.02032,6.76631,5.7144,6.9692,6.45668,7.75102,6.85128,7.05891,8.27904,6.95807
Equity,Eternal,E-Commerce/App based Aggregator,4.638874,5.23898,6.25192,6.65097,6.14239,-,-,-,-,-,-
Equity,ICICI Bank,Banks,4.428642,4.82835,5.25017,4.94082,2.24845,-,-,3.12756,-,-,-
Equity,CG Power & Ind,Capital Goods - Electrical Equipment,4.193867,3.85806,4.96015,3.82566,3.936,3.92054,4.86463,5.24151,5.67077,6.417,6.8362
Equity,RBL Bank,Banks,3.807714,2.08717,2.04426,-,-,-,-,-,-,-,-
Equity,Radico Khaitan,Alcoholic Beverages,3.682836,3.06642,2.40623,-,-,-,-,-,-,-,-
Equity,Ellen.Indl.Gas,Chemicals,3.437185,3.30051,3.77488,4.48622,5.1096,5.60835,6.74539,7.27423,8.26317,8.47872,3.31484
Equity,IndusInd Bank,Banks,3.332383,3.12659,3.52843,1.48739,-,-,-,-,-,-,-
Equity,Coforge,IT - Software,2.994308,4.78199,6.01992,8.04047,7.34745,7.52084,7.14619,7.93642,8.65123,9.16112,10.84865
Equity,BSE,Financial Services,2.926019,-,-,-,-,-,-,-,-,-,-
Equity,Bharti Airtel,Telecom-Service,2.836748,3.57072,3.34146,7.59069,9.30294,8.90517,-,-,-,-,-
Equity,Persistent Systems,IT - Software,2.773114,-,-,-,-,-,-,-,-,-,-
Equity,Health.Global,Healthcare,2.717126,3.59797,4.83187,5.03727,5.11847,5.41578,5.27518,3.99029,3.93066,3.76513,3.53261
Equity,Navin Fluo.Intl.,Chemicals,2.564113,1.97618,1.00222,-,-,-,-,-,-,-,-
Equity,HDFC Bank,Banks,2.511849,5.43972,5.63352,5.6473,-,-,-,-,-,-,-
Equity,Reliance Industr,Refineries,2.312403,2.4809,-,-,-,-,-,-,-,-,-
Equity,Divi's Lab.,Pharmaceuticals,2.299095,-,-,-,-,-,-,-,-,-,-
