Fund Name,AMFI Code,Fund ISIN,Category,markDate,type,assetClass,sector,name,marketcapcat,rating,perc,value,shares
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Cash & Cash Equivalent,Cash & Cash Equivalent,Debt Others,C C I,-,UR / N.A.,0.09,12.0565,0.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Cash & Bank Balance & Bank Deposits,Cash & Bank Balance & Bank Deposits,Debt Others,Cash & Bank Balance,-,UR / N.A.,0.12,15.472,0.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Net CA & Others,Net CA & Others,Debt Others,Net CA & Others,-,Net CA & O,-0.45,-65.9451,0.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Pharmaceuticals,Wockhardt,Small Cap,EQUITY,0.63,82.3584,480504.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Retail,Ethos Ltd,Small Cap,EQUITY,0.34,44.541,168601.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Rights,Rights,Debt Others,Ethos Ltd,-,UR / N.A.,0.03,4.3319,54586.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Finance,PNB Housing,Small Cap,EQUITY,0.81,105.0055,946507.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Tyres,JK Tyre & Indust,Small Cap,EQUITY,0.13,16.6996,468433.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Insurance,Star Health Insu,Small Cap,EQUITY,0.12,15.8883,375877.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Realty,Sunteck Realty,Small Cap,EQUITY,0.41,52.7561,1184066.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Quick Service Restaurant,Sapphire Foods,Small Cap,EQUITY,0.32,41.9458,1275724.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Chemicals,Vishnu Chemicals,Small Cap,EQUITY,0.32,42.1454,789905.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Finance,Dam Capital Advi,Small Cap,EQUITY,0.03,4.4338,172927.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Air Transport Service,SpiceJet,Small Cap,EQUITY,0.39,50.8198,12817090.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Infrastructure Developers & Operators,K E C Intl.,Small Cap,EQUITY,0.26,33.5274,365043.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Readymade Garments/ Apparells,Kewal Kir.Cloth.,Small Cap,EQUITY,0.54,70.4983,1368103.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Finance,Aditya AMC,Small Cap,EQUITY,0.25,33.038,413053.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Finance,Fedbank Financi.,Small Cap,EQUITY,0.61,78.8712,6881703.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Consumer Durables,Stove Kraft,Small Cap,EQUITY,0.51,66.3026,1110783.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,IT - Software,Affle 3i,Small Cap,EQUITY,0.14,17.7351,88751.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Pharmaceuticals,OneSource Speci.,Small Cap,EQUITY,0.32,42.0868,191495.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Finance,Repco Home Fin,Small Cap,EQUITY,1.01,130.6651,2965281.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Banks,Karnataka Bank,Small Cap,EQUITY,1.08,139.6376,7136383.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Pharmaceuticals,Marksans Pharma,Small Cap,EQUITY,0.4,52.4488,2005689.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,E-Commerce/App based Aggregator,Eternal Ltd,Large Cap,EQUITY,0.2,26.5446,1004907.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Entertainment,Zee Entertainmen,Small Cap,EQUITY,0.24,31.355,2143930.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Sugar,Triven.Engg.Ind.,Small Cap,EQUITY,0.29,37.0486,976376.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Pharmaceuticals,FDC,Small Cap,EQUITY,0.17,21.7565,446288.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Realty,Keystone Realtor,Small Cap,EQUITY,0.23,29.2683,477888.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,Auto Ancillaries,Sansera Enginee.,Small Cap,EQUITY,0.43,55.7363,403974.0
Bandhan Small Cap Fund - Direct (G),147946,INF194KB1AL4,Small Cap Fund,2025-06-30,Equity,Equity,"Diamond, Gems and Jewellery",P N Gadgil Jewe.,Small Cap,EQUITY,0.5,64.5463,1111526.0
