Positions Over Time - Abakkus Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26
Equity,PNB Housing,Finance,1.98,1.67
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,1.87,1.76
Equity,C D S L,Financial Services,1.87,-
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,1.83,1.52
Equity,Cams Services,Financial Services,1.81,-
Equity,Star Health Insu,Insurance,1.74,1.65
Equity,ZF Commercial,Auto Ancillaries,1.71,1.75
Equity,IIFL Finance,Finance,1.69,1.42
Equity,Urban Company,E-Commerce/App based Aggregator,1.67,1.7
Equity,Dr Lal Pathlabs,Healthcare,1.67,1.3
Equity,Karur Vysya Bank,Banks,1.62,1.91
Equity,Inox India,Packaging,1.61,1.3
Equity,Cemindia Project,Infrastructure Developers & Operators,1.6,-
Equity,Kajaria Ceramics,Ceramic Products,1.6,1.01
Equity,Godawari Power,Steel,1.58,1.48
Equity,PG Electroplast,Consumer Durables,1.57,1.71
Equity,Equitas Sma. Fin,Banks,1.56,1.43
Equity,Sansera Enginee.,Auto Ancillaries,1.54,1.37
Equity,Rainbow Child.,Healthcare,1.53,-
Equity,Avalon Tech,Consumer Durables,1.53,1.4
Equity,RBL Bank,Banks,1.52,-
Equity,Alembic Pharma,Pharmaceuticals,1.51,1.55
Equity,Century Plyboard,Plywood Boards/Laminates,1.46,-
Equity,Shriram Pistons,Auto Ancillaries,1.45,1.66
Equity,Oracle Fin.Serv.,IT - Software,1.43,1.04
Equity,Rategain Travel,IT - Software,1.41,0.66
Equity,International Ge,Miscellaneous,1.4,1.17
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.38,0.8
Equity,Arvind Fashions.,Retail,1.37,-
Equity,Gabriel India,Auto Ancillaries,1.37,-
Equity,Sanofi India,Pharmaceuticals,1.33,-
Equity,Jubilant Pharmo,Pharmaceuticals,1.33,-
Equity,Canara Robeco,Finance,1.32,-
Equity,Vedant Fashions,Readymade Garments/ Apparells,1.31,1.16
Equity,Jindal Saw,Capital Goods-Non Electrical Equipment,1.3,0.81
Equity,Aether Industri.,Chemicals,1.29,0.82
Equity,Wework India,Co-Working,1.28,0.85
Equity,The Anup Enginee,Engineering,1.26,1.18
Equity,Neuland Labs.,Pharmaceuticals,1.25,1.23
Equity,NCC,Infrastructure Developers & Operators,1.24,0.79
Equity,Emmvee Photovol.,Capital Goods - Electrical Equipment,1.2,1.2
Equity,SBI,Banks,1.18,1.08
Equity,PNC Infratech,Infrastructure Developers & Operators,1.18,-
Equity,Bank of Baroda,Banks,1.16,1.09
Equity,Divi's Lab.,Pharmaceuticals,1.16,1.11
Equity,Sanofi Consumer,Pharmaceuticals,1.15,0.05
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.15,1.1
Equity,Rallis India,Agro Chemicals,1.13,0.77
Equity,Container Corpn.,Logistics,1.05,-
Equity,ION Exchange,Infrastructure Developers & Operators,0.93999,1.37
Equity,Leela Palaces Ho,Hotels & Restaurants,0.92,0.73
Equity,Edelweiss.Fin.,Finance,0.84,-
Equity,HDFC Bank,Banks,0.66,1.13
Equity,Vedanta,Non Ferrous Metals,0.5,1.08
Equity,Cyient DLM,Electronics,0.42,0.38
Equity,Vedanta Iron & S,Other,0.22,-
Equity,Talwandi Sabo,Other,0.22,-
Equity,Vedanta Aluminiu,Other,0.22,-
Equity,MALCO Energy,Other,0.22,-
Equity,Arvind Fashions.,Trading,-,1.04
Reverse Repo,C C I,Debt Others,20.93,30.65
Certificate of Deposits,S I D B I,Debt Others,1.84,3.28
Commercial Paper,N A B A R D,Debt Others,1.83,3.28
Net CA & Others,Net CA & Others,Debt Others,-0.91,12.56
