Positions Over Time - Aditya Birla SL Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Navin Fluo.Intl.,Chemicals,2.98626,3.18572,2.94748,3.06346,2.87756,2.72655,2.88474,2.462,2.52713,2.61942,2.0976
Equity,TD Power Systems,Capital Goods - Electrical Equipment,2.88081,2.51233,2.42923,2.23211,2.1328,2.30842,2.37588,2.2887,1.96728,1.92471,1.87213
Equity,Multi Comm. Exc.,Financial Services,2.70368,2.56708,2.83259,2.99458,2.8914,2.55799,2.31127,2.33484,2.23981,2.09078,2.98241
Equity,Sai Life,Pharmaceuticals,2.61925,2.81096,2.63085,2.17746,2.25519,2.1473,2.19522,2.16125,2.0957,0.83788,0.7825
Equity,CCL Products,Plantation & Plantation Products,2.29133,2.52469,2.24278,2.19124,2.06303,2.15526,1.80905,1.86799,1.94911,1.76817,1.65636
Equity,PNB Housing,Finance,2.15187,1.83475,1.82638,1.86082,2.03525,1.71451,1.73188,1.69148,1.49375,1.88156,1.95799
Equity,Radico Khaitan,Alcoholic Beverages,2.13311,1.76786,1.08539,1.18377,1.44017,1.36992,1.5489,1.7292,1.7285,1.59492,1.49003
Equity,Arvind Ltd,Textiles,2.00433,2.01128,1.90299,1.72711,1.6965,1.82454,1.47959,1.37873,1.28966,1.36539,1.48774
Equity,Ujjivan Small,Banks,1.8522,1.94212,1.76368,2.02896,1.26965,1.27546,1.19616,0.79095,0.6884,0.6873,0.74301
Equity,Shaily Engineer.,Plastic products,1.73548,1.42891,1.40811,1.19806,1.24648,1.19974,0.97614,-,-,-,-
Equity,Karur Vysya Bank,Banks,1.71634,2.2585,2.31993,2.56868,2.03493,1.87053,1.80608,1.42937,1.46806,1.45014,1.43665
Equity,The Ramco Cement,Cement,1.6754,1.77644,1.98786,2.0153,1.70678,1.63906,1.62477,1.55497,1.67169,1.8095,1.61322
Equity,Manappuram Fin.,Finance,1.64275,1.65472,1.70105,1.74666,1.70721,1.54195,1.43601,1.57147,0.66772,0.56584,-
Equity,Craftsman Auto,Auto Ancillaries,1.60975,1.72498,1.6957,1.68449,1.7131,1.53052,1.43316,1.53082,1.57633,1.48204,1.37008
Equity,CESC,Power Generation & Distribution,1.56852,1.48311,1.4234,1.38091,1.49118,1.48379,1.5423,1.45776,1.38635,1.48627,1.46993
Equity,Sobha,Realty,1.5482,1.51435,1.62145,1.72218,1.4997,1.54511,1.6019,1.60233,1.40378,1.47422,1.27314
Equity,Meesho,E-Commerce/App based Aggregator,1.51963,0.94669,0.98311,0.49536,0.31358,-,-,-,-,-,-
Equity,Krishna Institu.,Healthcare,1.48923,1.63924,1.83129,1.51629,1.60429,1.76622,1.83043,1.86677,2.05241,2.09229,1.83132
Equity,Granules India,Pharmaceuticals,1.47395,1.54317,1.31983,1.32158,1.34145,1.21899,1.22083,1.17205,1.12934,1.04871,1.06763
Equity,Bikaji Foods,FMCG,1.46174,1.12042,1.04765,1.1035,1.21714,1.13853,1.14211,1.22181,1.31315,1.1995,1.15601
Equity,Angel One,Stock/ Commodity Brokers,1.44282,1.31823,0.86345,0.96128,0.85816,0.96811,0.87875,0.78967,0.82812,0.93816,1.02909
Equity,Manorama Indust.,FMCG,1.43619,1.2699,1.46074,1.41342,1.35209,1.28234,1.35661,1.42791,1.44979,1.5668,1.46796
Equity,SJS Enterprises,Auto Ancillaries,1.4361,1.45395,1.50339,1.6309,2.00669,2.17622,2.041,2.0028,1.87088,1.70651,1.74161
Equity,Fortis Health.,Healthcare,1.4032,1.42719,1.54217,1.42337,1.42999,1.45407,1.59373,2.1045,2.0962,1.89803,1.71666
Equity,RBL Bank,Banks,1.38201,1.40494,1.41291,1.34884,0.7402,0.71612,-,-,-,-,-
Equity,Minda Corp,Auto Ancillaries,1.37886,1.5829,1.58487,1.64065,1.61942,1.60352,1.53128,1.62471,1.48006,1.4259,1.14898
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,1.3721,1.19842,1.14488,0.94747,0.97625,0.88751,0.72199,0.7411,-,-,-
Equity,Dr Lal Pathlabs,Healthcare,1.34626,1.52558,1.48331,1.43749,1.46323,1.37966,1.39579,1.45786,0.68596,-,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.31295,1.24229,1.27943,0.93469,0.90895,0.9731,0.5012,0.49696,0.2346,-,-
Equity,PG Electroplast,Consumer Durables,1.30767,1.35873,1.07582,0.85567,0.86977,0.8737,0.83127,0.76811,0.82499,1.209,1.09724
Equity,A B Real Estate,Realty,1.26934,1.13254,1.18576,1.18922,1.52196,1.4709,1.53256,1.449,1.51916,1.57462,1.7492
Equity,Hitachi Energy,Capital Goods - Electrical Equipment,1.18228,1.41695,1.75469,1.38216,1.2984,1.52963,1.21406,1.40347,1.50782,1.78677,1.94714
Equity,Shivalik Bimetal,Non Ferrous Metals,1.18147,0.9086,0.95804,0.92719,0.90708,0.90157,0.97538,1.06757,1.05294,1.10438,1.13585
Equity,DCB Bank,Banks,1.15111,1.11671,1.1927,1.21566,-,-,-,-,-,-,-
Equity,CEAT,Tyres,1.12125,1.24606,1.23673,1.3461,1.12719,1.11234,1.14817,1.28222,1.20127,1.22312,1.32747
Equity,Aptus Value Hou.,Finance,1.07717,0.95131,1.08719,1.25381,1.22963,1.20258,1.34751,1.42486,0.93187,0.92534,0.60505
Equity,J K Cements,Cement,1.06964,1.21356,1.23134,1.22866,1.19061,1.21221,1.28817,1.37169,2.3049,2.12673,2.05903
Equity,Whirlpool India,Consumer Durables,1.06484,1.00743,1.07172,0.92387,1.03355,1.20531,1.54884,1.38502,1.53036,1.51154,1.54927
Equity,Sanofi Consumer,Pharmaceuticals,1.04457,1.11284,1.05923,1.02383,1.05449,1.06319,1.088,1.11391,1.23829,1.12847,1.27836
Equity,Natl. Aluminium,Non Ferrous Metals,1.02685,1.1724,0.98126,1.45286,1.66038,1.34321,1.19117,1.14277,1.00676,0.9632,0.979
Equity,Bank of India,Banks,1.02503,1.18542,1.62271,1.54548,1.31103,1.31152,1.22771,1.13763,1.02889,1.00013,1.03916
Equity,Indian Bank,Banks,0.98967,1.16016,1.2383,1.16459,1.03496,1.31065,1.27345,1.16928,1.02947,0.94325,0.95292
Equity,Chola Financial,Finance,0.96858,1.00346,1.17975,1.22032,1.29415,1.28892,1.31483,1.36103,1.26096,1.32766,1.48699
Equity,Crompton Gr. Con,Consumer Durables,0.96268,0.93322,0.98072,0.86061,0.94866,0.97597,1.02387,1.10808,1.27035,1.19682,1.2845
Equity,Mrs Bectors,FMCG,0.94243,1.01549,1.07827,1.08275,1.0734,1.18493,0.98588,0.74504,0.82724,0.87207,0.76973
Equity,Aditya Infotech,Electronics,0.94099,0.85918,0.76773,0.64185,0.27002,0.30933,0.26091,0.27513,0.26676,-,-
Equity,NMDC Steel,Steel,0.93648,0.85937,0.957,1.02339,0.81268,0.75206,0.43644,-,-,-,-
Equity,Jubilant Pharmo,Pharmaceuticals,0.8831,0.91879,0.88843,1.02891,1.08526,1.02942,0.89725,0.54004,0.51802,0.58195,-
Equity,Swiggy,E-Commerce/App based Aggregator,0.87467,0.99363,0.9271,0.9724,1.17341,-,-,-,-,-,-
Equity,Latent View,IT - Software,0.8293,0.84122,0.96021,1.1845,1.29155,1.37232,1.05307,0.83608,0.86061,0.8175,0.80089
Equity,Prestige Estates,Realty,0.80612,0.75811,0.93381,1.00106,1.0571,1.08733,1.1137,1.01243,1.05965,1.06221,1.05652
Equity,KEC Internationa,Infrastructure Developers & Operators,0.75207,0.8098,0.84479,0.98389,1.00822,0.78051,-,-,-,-,-
Equity,Pitti Engg.,Capital Goods-Non Electrical Equipment,0.72279,0.60084,0.72396,0.63876,0.64805,0.68564,0.7345,0.81166,0.76462,0.74927,0.78603
Equity,RHI Magnesita,Refractories,0.71762,0.70879,0.831,0.8695,0.8678,0.85842,0.86803,0.84304,0.91721,0.93313,0.86539
Equity,Cyient,IT - Software,0.71572,0.72985,0.80811,1.00228,0.95261,0.93649,0.95407,0.98801,1.01889,1.01229,1.05612
Equity,Jindal Saw,Capital Goods-Non Electrical Equipment,0.71437,0.26281,-,-,-,-,-,-,-,-,-
Equity,PB Fintech.,IT - Software,0.707,0.71537,0.67649,0.77188,0.8242,0.80311,0.77625,0.77721,0.81833,0.80604,0.7919
Equity,Repco Home Fin,Finance,0.69793,0.70587,0.70208,0.76143,0.75617,0.74444,0.73514,0.66629,0.64705,0.73299,0.77244
Equity,Sagility,IT - Software,0.69208,0.78216,0.63972,0.7207,0.72663,-,-,-,-,-,-
Equity,Gokaldas Exports,Readymade Garments/ Apparells,0.66974,0.65203,0.65514,0.69071,1.02203,1.30165,1.15852,1.06688,1.0329,1.2554,1.29838
Equity,Birlasoft Ltd,IT - Software,0.65863,0.70002,0.74834,-,-,-,-,-,-,-,-
Equity,Piramal Pharma,Pharmaceuticals,0.65772,0.6551,0.68265,0.69103,0.74451,0.7062,0.64417,0.6185,0.60064,0.62097,0.62567
Equity,Ather Energy,Automobile,0.65189,0.62083,0.04368,-,-,-,-,-,-,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,0.63845,0.66763,0.65856,0.65172,0.68352,0.76573,0.74695,0.78118,0.73231,0.81464,0.79587
Equity,M & B Engineer.,Construction,0.6339,0.51041,0.61089,-,-,-,-,-,-,-,-
