Positions Over Time - DSP Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Lumax Auto Tech.,Auto Ancillaries,5.38,6.16,6.45,5.18,5.65,5.6,4.14,4.69,4.38,3.99,4.22
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,3.57,3.27,3.25,2.91,2.88,2.65,2.37,2.23,2.16,2.13,1.99
Equity,Thangamayil Jew.,"Diamond, Gems and Jewellery",3.5,3.76,3.93,3.45,3.19,3.21,2.16,2.05,2.28,1.86,1.74
Equity,Jubilant Ingrev.,Chemicals,2.79,2.49,2.43,2.76,2.91,2.91,2.86,2.71,3.05,3.22,3.12
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,2.66,2.92,2.69,2.49,2.65,2.77,3.15,2.86,2.79,3.01,3.06
Equity,Sansera Enginee.,Auto Ancillaries,2.48,2.4,2.46,1.9,1.75,1.82,1.62,1.5,1.38,1.41,1.36
Equity,L T Foods,FMCG,2.41,2.37,2.38,2.31,2.3,2.4,2.49,2.46,2.53,2.86,2.84
Equity,Dodla Dairy,FMCG,2.3,2.38,2.59,2.75,2.77,2.82,2.87,3.01,3.07,2.8,3.14
Equity,Triven.Engg.Ind.,Sugar,2.11,2.28,2.15,2.14,2.12,1.92,1.95,1.86,1.95,1.86,2.04
Equity,Shriram Pistons,Auto Ancillaries,2.11,2.13,2.0,1.84,2.07,1.66,1.68,1.77,1.63,1.53,1.56
Equity,Ipca Labs.,Pharmaceuticals,1.8,2.2,1.9,1.92,1.94,1.98,1.75,1.88,1.93,2.01,1.88
Equity,Techno Elec.Engg,Infrastructure Developers & Operators,1.79,1.61,1.74,1.51,1.6,1.77,1.96,2.02,2.27,2.14,2.34
Equity,eClerx Services,IT - Software,1.77,2.01,2.08,3.19,3.07,2.96,3.1,2.69,2.81,2.88,2.82
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,1.7,1.48,1.4,1.19,1.21,1.25,1.14,1.14,1.22,1.35,1.44
Equity,Swaraj Engines,Capital Goods-Non Electrical Equipment,1.62,1.58,1.56,1.57,1.55,1.6,1.74,1.83,1.77,1.81,1.69
Equity,Prudent Corp.,Stock/ Commodity Brokers,1.59,1.43,1.4,1.35,1.37,1.33,1.38,1.42,1.54,1.57,1.44
Equity,Atul,Chemicals,1.54,1.68,1.6,1.55,1.46,1.39,1.38,1.48,1.52,1.57,1.76
Equity,Archean Chemical,Chemicals,1.53,1.73,1.54,1.58,1.48,1.35,1.76,1.88,1.78,1.76,1.66
Equity,Harsha Engg Intl,Capital Goods-Non Electrical Equipment,1.51,1.44,1.53,1.63,-,-,-,-,-,-,-
Equity,Vardhman Textile,Textiles,1.5,1.64,1.61,1.34,1.29,1.28,1.29,1.25,1.28,1.28,1.46
Equity,PNB Housing,Finance,1.49,1.26,1.24,1.15,0.88,0.83,0.86,0.82,0.71,0.81,0.78
Equity,Dhanuka Agritech,Agro Chemicals,1.49,1.45,1.49,1.71,1.72,1.79,1.8,2.06,2.04,2.25,2.04
Equity,Cyient,IT - Software,1.46,1.48,1.63,2.12,1.98,1.98,2.07,2.08,2.11,2.13,2.26
Equity,Suprajit Engg.,Auto Ancillaries,1.39,1.57,1.55,1.68,1.64,1.67,1.59,1.68,1.63,1.62,1.69
Equity,Navin Fluo.Intl.,Chemicals,1.37,1.45,1.34,1.36,1.26,1.22,1.69,1.4,1.41,1.48,1.41
Equity,Aarti Drugs,Pharmaceuticals,1.34,1.33,1.39,1.51,1.55,1.6,1.86,1.88,1.8,1.9,1.71
Equity,Gland Pharma,Pharmaceuticals,1.29,1.46,1.42,1.47,1.29,0.83,0.72,0.34,-,-,-
Equity,Greenlam Industr,Plywood Boards/Laminates,1.28,1.36,1.44,1.51,1.46,1.1,1.16,1.07,1.06,1.02,1.03
Equity,R R Kabel,Cables,1.14,1.1,1.2,1.1,1.11,1.07,1.09,0.99,0.91,1.1,1.02
Equity,IFB Industries,Consumer Durables,1.12,1.02,1.14,1.22,1.61,1.72,1.94,1.77,1.54,1.36,1.58
Equity,Rainbow Child.,Healthcare,1.07,1.17,1.08,1.08,1.2,1.22,1.25,1.26,1.39,1.38,1.4
Equity,Amber Enterp.,Consumer Durables,1.03,0.98,1.09,0.81,0.87,0.97,1.1,1.13,1.01,1.08,0.91
Equity,Bayer Crop Sci.,Agro Chemicals,1.03,0.92,0.6,0.57,0.49,-,-,-,-,-,-
Equity,Safari Inds.,Plastic products,1.03,1.22,1.38,1.64,1.67,1.86,1.65,1.72,1.68,1.6,1.64
Equity,Max Financial,Miscellaneous,0.99,1.09,0.9,0.84,0.83,0.84,0.77,0.8,0.81,0.74,-
Equity,Campus Activewe.,Leather,0.98,1.02,1.09,1.11,1.1,1.15,1.18,1.16,1.13,1.12,1.16
Equity,Apar Inds.,Capital Goods - Electrical Equipment,0.95,0.89,0.91,0.68,0.68,0.74,0.71,0.68,0.64,0.72,0.7
Equity,Mold-Tek Pack.,Packaging,0.95,0.92,0.99,0.96,0.93,0.92,1.06,1.13,1.11,1.02,0.86
Equity,21st Cent. Prin.,Packaging,0.95,0.96,1.01,1.04,1.14,1.19,1.26,1.28,1.27,1.34,1.37
Equity,ERIS Lifescience,Pharmaceuticals,0.91,1.04,0.99,1.05,1.09,1.15,1.16,1.18,1.33,1.3,1.21
Equity,Ratnamani Metals,Capital Goods-Non Electrical Equipment,0.89,0.86,0.87,0.82,0.84,0.84,0.86,0.88,0.86,0.93,1.03
Equity,S P Apparels,Textiles,0.88,0.88,0.81,0.81,0.8,0.91,0.91,0.92,0.97,1.09,1.13
Equity,Nilkamal Ltd,Plastic products,0.85,0.82,0.96,1.02,0.96,0.98,1.06,1.11,1.1,1.17,1.23
Equity,Concord Biotech,Pharmaceuticals,0.85,0.89,0.96,0.97,1.06,0.77,0.64,0.19,0.01,-,-
Equity,Anand Rathi Wea.,Finance,0.82,0.8,0.74,0.72,0.74,0.68999,0.74,0.68999,0.68,0.63,0.51
Equity,Kalyani Steels,Steel,0.81,0.64,0.75,0.75,0.77,0.77,0.87,0.79,0.85,0.89,0.92
Equity,Sharda Cropchem,Agro Chemicals,0.8,0.84,1.23,1.12,0.9,0.89,0.9,0.87,1.0,1.17,0.91
Equity,Sona BLW Precis.,Auto Ancillaries,0.79,0.73,0.74,0.71,0.45,0.48,0.44,-,-,-,-
Equity,Niva Bupa Health,Insurance,0.77,0.8,0.78,0.86,0.78,0.77,0.78,0.87,0.86,0.81,0.75
Equity,Westlife Food,Quick Service Restaurant,0.72,0.86,0.8,0.83,0.9,0.91,0.96,1.14,1.18,1.17,1.19
Equity,Narayana Hrudaya,Healthcare,0.71,0.76,0.78,0.79,0.81,0.82,0.75,0.76,0.76,0.86,1.14
Equity,Rolex Rings,Auto Ancillaries,0.68999,-,-,-,-,-,-,-,-,-,-
Equity,Prince Pipes,Plastic products,0.67,0.62,0.68999,0.68,0.71,0.75,0.88,0.9,0.89,0.92,0.99
Equity,La Opala RG,Glass & Glass Products,0.66,0.71,0.8,0.79,0.78,0.85,0.9,0.96,0.96,1.07,1.0
Equity,GHCL,Chemicals,0.64,0.63,0.65,0.75,0.76,0.88,0.99,0.95,0.86,0.91,0.93
Equity,Alembic Pharma,Pharmaceuticals,0.63,0.65,0.63,0.73,0.75,0.8,0.8,0.82,0.85,0.86,0.91
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,0.63,0.62,0.66,0.64,0.6,0.42,0.45,0.46,0.45,0.4,0.43
Equity,West Coast Paper,Paper,0.62,0.61,0.57,0.57,0.56,0.58,0.62,0.65,0.68999,0.72,0.66
Equity,Borosil,Glass & Glass Products,0.57,0.59,0.58,0.64,0.68,0.78,0.83,0.86,0.82,0.8,0.82
Equity,Manappuram Fin.,Finance,0.55,0.55,0.56,0.59,0.61,0.56,0.53,0.57,0.52,0.77,0.84
Equity,Angel One,Stock/ Commodity Brokers,0.54,0.47,0.43,0.5,0.44,0.5,0.46,0.41,0.42,0.48,0.28
Equity,Happy Forgings,"Castings, Forgings & Fastners",0.54,0.54,0.56,0.47,0.48,0.43,0.43,0.4,0.39,0.4,0.4
Equity,Stylam Industrie,Plywood Boards/Laminates,0.54,0.62,0.58,0.6,0.57,0.53,0.53,0.44,0.44,0.45,0.42
Equity,Carysil,Consumer Durables,0.52,0.51,0.55,0.51,0.53,0.6,0.55,0.51,0.52,0.52,0.51
Equity,Canara HSBC,Insurance,0.51,0.59,0.55,0.59,0.56,0.42,0.36,-,-,-,-
Equity,Sandhar Tech,Auto Ancillaries,0.51,0.52,0.55,0.64,0.78,0.85,0.79,0.7,0.68,0.75,0.82
Equity,Ujjivan Small,Banks,0.49,0.5,0.53,0.62,0.46,0.47,0.45,-,-,-,-
