Positions Over Time - Edelweiss Small Cap Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Multi Comm. Exc.,Financial Services,3.37,3.5,3.28,3.13,3.31,2.64,2.44,2.26,1.99,1.94,2.0,2.84
Equity,City Union Bank,Banks,3.12,3.41,3.26,3.59,3.9,3.7,3.53,3.0,2.93,2.77,2.99,3.08
Equity,Karur Vysya Bank,Banks,2.58,2.72,3.12,3.28,3.09,2.66,2.56,2.53,2.3,2.4,2.43,2.49
Equity,Avalon Tech,Consumer Durables,2.44,1.76,1.8,1.84,1.29,1.0,1.08,1.34,1.19,1.0,1.01,1.02
Equity,KEI Industries,Cables,2.38,2.27,2.2,2.58,2.08,2.27,2.16,2.12,2.23,2.15,2.15,2.14
Equity,Fortis Health.,Healthcare,2.27,1.79,1.79,1.98,1.64,1.67,1.78,2.0,1.98,1.91,1.78,1.66
Equity,Krishna Institu.,Healthcare,2.16,1.97,2.13,2.38,1.97,1.96,2.26,2.39,2.43,2.58,2.65,2.2
Equity,Ajanta Pharma,Pharmaceuticals,2.14,2.13,2.47,2.26,1.67,1.63,1.55,1.5,1.53,1.62,1.78,1.68
Equity,Radico Khaitan,Alcoholic Beverages,2.11,2.12,1.9,1.78,1.94,2.23,2.22,2.18,2.17,2.21,2.09,2.43
Equity,Gabriel India,Auto Ancillaries,1.96,1.89,1.78,2.0,1.71,1.82,1.9,2.37,2.3,2.3,2.05,1.19
Equity,PNB Housing,Finance,1.95,2.05,1.72,1.75,1.78,2.03,1.98,2.04,1.99,1.78,2.31,2.21
Equity,Indian Bank,Banks,1.89,2.08,2.41,2.63,2.47,2.23,2.38,2.36,2.16,1.93,1.82,1.9
Equity,Uno Minda,Auto Ancillaries,1.86,2.0,2.16,2.32,2.36,2.52,2.63,2.5,2.75,2.79,2.24,2.4
Equity,Inventurus Knowl,IT - Software,1.77,1.24,0.87,0.84,-,-,-,-,-,-,-,-
Equity,Bikaji Foods,FMCG,1.77,1.91,2.05,1.89,1.48,1.66,1.51,1.55,1.65,1.54,1.0,1.0
Equity,Century Plyboard,Plywood Boards/Laminates,1.74,1.86,1.91,1.86,2.08,2.11,2.09,1.98,2.23,1.97,1.91,1.75
Equity,Equitas Sma. Fin,Banks,1.74,1.72,1.55,1.79,1.72,1.52,1.18,0.83,0.42,-,-,-
Equity,J B Chemicals &,Pharmaceuticals,1.66,1.62,1.9,1.77,1.64,1.57,1.57,1.5,1.59,1.65,1.67,1.6
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,1.65,1.77,2.1,2.26,2.11,1.94,1.79,1.87,1.85,1.81,1.78,1.96
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.62,1.6,1.29,1.34,1.35,1.23,1.29,1.34,1.51,1.57,1.68,1.82
Equity,Billionbrains,Stock/ Commodity Brokers,1.61,1.95,0.66,-,-,-,-,-,-,-,-,-
Equity,Navin Fluo.Intl.,Chemicals,1.6,1.68,1.98,2.07,2.39,2.28,2.27,2.26,1.92,2.01,2.13,2.06
Equity,Triveni Turbine,Capital Goods - Electrical Equipment,1.52,1.22,1.09,1.13,1.18,1.25,1.27,1.28,1.3,1.33,1.52,1.07
Equity,Jubilant Ingrev.,Chemicals,1.5,1.71,1.52,1.52,1.69,1.84,1.89,1.86,1.8,2.1,2.24,2.2
Equity,Craftsman Auto,Auto Ancillaries,1.49,1.31,1.38,1.39,1.38,1.42,1.33,1.27,1.36,1.42,1.11,-
Equity,Vijaya Diagnost.,Healthcare,1.46,1.24,0.95,1.04,1.01,1.1,1.06,1.06,1.12,1.16,1.22,1.13
Equity,Max Financial,Miscellaneous,1.46,1.43,1.57,1.78,1.61,1.64,1.72,1.57,1.67,1.75,1.62,-
Equity,Sumitomo Chemi.,Agro Chemicals,1.45,1.25,1.27,1.3,1.15,1.3,1.32,1.43,1.59,1.74,1.97,1.42
Equity,Ipca Labs.,Pharmaceuticals,1.41,1.47,1.79,1.31,0.93,0.88,0.93,0.82,0.9,0.96,1.01,0.96
Equity,Delhivery,Logistics,1.3,1.39,1.45,1.4,1.4,1.31,1.17,1.29,0.81,-,-,-
Equity,Federal Bank,Banks,1.3,1.34,1.41,1.52,1.49,1.36,1.34,1.24,1.06,1.08,1.13,1.2
Equity,Go Digit General,Insurance,1.28,1.34,1.65,1.58,1.56,1.33,1.28,0.74,-,-,-,-
Equity,V-Mart Retail,Retail,1.26,0.82,0.74,0.8,0.93,1.04,1.16,1.24,1.11,1.19,1.26,1.38
Equity,Ather Energy,Automobile,1.24,1.25,1.17,1.03,0.92,1.1,0.8,-,-,-,-,-
Equity,Motherson Wiring,Auto Ancillaries,1.21,1.3,1.38,1.51,1.54,1.7,1.64,1.7,1.73,1.55,1.07,-
Equity,Can Fin Homes,Finance,1.19,1.29,1.37,1.36,1.54,1.51,1.47,1.45,1.14,1.1,1.14,1.21
Equity,Aether Industri.,Chemicals,1.15,1.27,1.38,1.13,1.21,1.02,1.06,0.92,0.96,0.97,0.99,0.93
Equity,JSW Cement,Cement,1.14,1.12,1.17,1.24,0.96,-,-,-,-,-,-,-
Equity,Balkrishna Inds,Tyres,1.12,1.13,1.27,1.35,-,-,-,-,-,-,-,-
Equity,Thermax,Capital Goods - Electrical Equipment,1.11,0.93999,0.87,0.78,0.73,0.76,0.75,0.83,0.86,0.89,1.08,0.95
Equity,Dr Lal Pathlabs,Healthcare,1.05,0.8,0.89,0.89,0.91,0.93999,0.99,1.03,1.07,0.27,-,-
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.04,1.04,1.08,1.09,1.07,1.14,1.34,1.34,1.4,1.33,1.52,1.53
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,0.98,1.26,1.08,0.8,0.4,0.42,0.45,0.41,0.42,0.47,0.52,0.57
Equity,Firstsour.Solu.,IT - Software,0.98,0.83,0.92,0.9,1.37,1.42,1.49,1.54,1.5,1.64,1.58,1.55
Equity,Neuland Labs.,Pharmaceuticals,0.89,0.81,-,-,-,-,-,-,-,-,-,-
Equity,KSB,Capital Goods-Non Electrical Equipment,0.89,1.14,0.88,0.8,0.75,0.78,0.82,0.85,0.92,0.95,0.95,-
Equity,Brigade Enterpr.,Realty,0.88,1.1,1.06,1.05,1.16,1.35,1.4,1.43,1.06,1.13,1.21,1.35
Equity,SRF,Chemicals,0.85,0.81,0.92,0.9,1.01,0.78,-,-,-,-,-,-
Equity,B H E L,Capital Goods - Electrical Equipment,0.84,0.74,-,-,-,-,-,-,-,-,-,-
Equity,Vishal Mega Mart,Retail,0.8,0.83,0.84,0.87,0.95,1.01,1.03,1.11,1.2,1.23,1.14,1.31
Equity,Concord Biotech,Pharmaceuticals,0.79,0.89,0.92,0.62,0.32,0.36,0.39,0.4,0.47,0.5,0.52,0.54
Equity,C D S L,Financial Services,0.78,0.83,0.85,0.9,0.95,1.02,1.17,0.91,0.49,-,-,-
Equity,Arvind Fashions.,Retail,0.77,0.77,-,-,-,-,-,-,-,-,-,-
Equity,Dodla Dairy,FMCG,0.77,0.82,0.84,0.93999,0.97,1.24,1.3,1.53,1.64,1.74,1.6,1.82
Equity,Ahluwalia Contr.,Realty,0.7,0.81,0.68999,0.76,0.87,0.97,1.01,0.97,1.06,1.01,1.11,1.11
