Positions Over Time - Groww Small Cap Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26
Equity,TD Power Systems,Capital Goods - Electrical Equipment,4.39398,3.92903,4.10597,4.11458,0.7825
Equity,T N Merc. Bank,Banks,3.67594,3.90934,3.82005,1.64452,-
Equity,Home First Finan,Finance,3.63068,4.59166,4.47951,2.24065,0.90457
Equity,City Union Bank,Banks,3.44144,3.63225,2.89176,1.197,-
Equity,Apar Inds.,Capital Goods - Electrical Equipment,3.38331,3.41896,3.87645,4.67673,-
Equity,Ujjivan Small,Banks,3.32796,3.47752,2.38471,-,-
Equity,Azad Engineering,Aerospace & Defence,2.91721,3.63149,3.11622,-,-
Equity,Prudent Corp.,Stock/ Commodity Brokers,2.81858,3.39576,3.26948,2.08587,-
Equity,Navin Fluo.Intl.,Chemicals,2.72944,3.0284,3.01549,1.81016,-
Equity,Craftsman Auto,Auto Ancillaries,2.72934,3.13731,4.02857,1.80931,-
Equity,SBFC Finance,Finance,2.63381,1.65303,1.53061,0.7061,0.22282
Equity,CreditAcc. Gram.,Finance,2.5811,2.77782,2.63161,1.41,-
Equity,RBL Bank,Banks,2.34977,-,-,-,-
Equity,Galaxy Surfact.,Chemicals,2.29398,2.75189,2.59677,0.56188,-
Equity,L G Balakrishnan,Auto Ancillaries,2.27563,1.98472,1.68406,1.26879,-
Equity,Yatharth Hospit.,Healthcare,2.27404,2.71486,2.89109,2.39616,0.24422
Equity,Tenneco Clean,Auto Ancillaries,2.15784,2.64458,2.37231,1.97109,-
Equity,Sharda Motor,Auto Ancillaries,2.11304,2.50976,2.72527,1.07993,-
Equity,Onemi Technology,E-Commerce/App based Aggregator,2.08067,-,-,-,-
Equity,Fine Organic,Chemicals,2.07497,2.03885,2.4666,2.03821,0.9279
Equity,Venus Pipes,Steel,2.05042,2.34321,2.15145,2.0435,0.15653
Equity,Schneider Elect.,Capital Goods - Electrical Equipment,1.95589,2.15529,1.59422,-,-
Equity,J Kumar Infra,Infrastructure Developers & Operators,1.8707,2.24333,1.79952,-,-
Equity,Karur Vysya Bank,Banks,1.765,1.56186,1.06067,0.94061,-
Equity,Sandhar Tech,Auto Ancillaries,1.74658,0.83294,1.04247,1.28853,-
Equity,Ather Energy,Automobile,1.62615,-,-,-,-
Equity,J & K Bank,Banks,1.5716,1.67523,0.95541,-,-
Equity,Krishna Institu.,Healthcare,1.50284,1.53111,2.01955,2.58135,0.22728
Equity,SJS Enterprises,Auto Ancillaries,1.48356,1.24839,1.51454,1.83224,0.92203
Equity,Data Pattern,Aerospace & Defence,1.157,1.3545,1.42521,1.60715,0.97724
Equity,Coforge,IT - Software,1.1517,1.12335,0.99576,-,-
Equity,Five-Star Bus.Fi,Finance,1.11028,1.38701,1.44443,-,-
Equity,APL Apollo Tubes,Capital Goods-Non Electrical Equipment,1.07658,0.99827,1.43623,0.1413,0.15069
Equity,Yatra Online,E-Commerce/App based Aggregator,1.04847,1.09729,1.32958,-,-
Equity,Angel One,Stock/ Commodity Brokers,1.01566,1.45487,1.51722,1.65801,-
Equity,Multi Comm. Exc.,Financial Services,0.99658,-,-,-,-
Equity,Uniparts India,Engineering,0.99621,1.02704,1.20464,0.03625,-
Equity,Bank of Maha,Banks,0.94813,1.08701,1.20363,-,-
Equity,Shriram Pistons,Auto Ancillaries,0.92772,1.10757,1.3541,1.49182,0.46526
Equity,Aether Industri.,Chemicals,0.92721,-,-,-,0.23255
Equity,Schaeffler India,Bearings,0.77106,0.8933,-,-,-
Equity,Mphasis,IT - Software,0.70563,-,-,-,-
Equity,Mrs Bectors,FMCG,0.58541,0.77572,1.00161,1.24431,-
Equity,Shyam Metalics,Steel,0.50706,-,-,-,-
Equity,Elecon Engg.Co,Capital Goods-Non Electrical Equipment,0.47467,-,-,-,-
Equity,PNGS Reva Diamo.,"Diamond, Gems and Jewellery",0.28131,0.66651,0.73931,0.91703,-
Equity,Disa India,Capital Goods-Non Electrical Equipment,0.05806,-,-,-,-
Equity,Rolex Rings,"Castings, Forgings & Fastners",-,-,0.7317,0.9454,-
Equity,Bharat Forge,"Castings, Forgings & Fastners",-,-,1.40973,2.25994,-
Equity,Blackbuck,Logistics,-,1.41719,1.66942,-,-
Equity,Waaree Energies,Capital Goods - Electrical Equipment,-,-,-,1.32269,-
Equity,Unimech Aero.,Aerospace & Defence,-,-,1.21476,0.77726,-
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,-,-,1.77161,1.99779,-
Equity,GNA Axles,Auto Ancillaries,-,-,0.87265,0.75133,-
Equity,Jyoti CNC Auto.,Capital Goods-Non Electrical Equipment,-,-,1.21039,-,-
Equity,KPIT Technologi.,IT - Software,-,-,-,-,0.21825
Equity,Steel Str. Wheel,Auto Ancillaries,-,-,0.40634,0.91765,-
Equity,Star Health Insu,Insurance,-,0.92582,0.71797,0.20852,0.24486
Equity,Manappuram Fin.,Finance,-,1.20567,1.45529,0.66727,0.22475
Equity,Persistent Syste,IT - Software,-,-,1.01742,-,-
Equity,Sagility,IT - Software,-,1.65943,1.91766,0.85648,-
Reverse Repo,TREPS,Debt Others,12.81848,12.7009,-,-,-
Net CA & Others,Net CA & Others,Debt Others,0.98725,0.2999,5.92891,2.36005,93.09849
Reverse Repo,C C I,Debt Others,-,-,-,40.14245,-
