Positions Over Time - HDFC Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Aster DM Health.,Healthcare,4.42,4.78,4.21,3.58,3.91,4.19,4.22,4.11,4.0,4.01,4.06
Equity,Bank of Baroda,Banks,3.23,3.44,4.03,3.8,3.67,3.57,3.39,3.29,3.0,3.06,3.26
Equity,Firstsour.Solu.,IT - Software,3.17,3.42,3.2,4.79,4.92,5.03,5.09,4.9,5.28,5.12,5.7
Equity,Gabriel India,Auto Ancillaries,2.63,2.38,2.48,2.34,2.47,2.52,3.14,3.17,3.47,3.28,2.38
Equity,eClerx Services,IT - Software,2.35,2.55,2.58,3.78,3.91,3.94,4.46,4.02,4.38,3.91,3.69
Equity,ERIS Lifescience,Pharmaceuticals,2.34,2.59,2.4,2.44,2.59,2.72,2.69,2.73,3.01,2.99,2.84
Equity,Fortis Health.,Healthcare,2.28,2.23,2.38,2.18,2.21,2.28,2.66,2.65,2.53,2.38,2.24
Equity,Indian Bank,Banks,2.16,2.43,2.56,2.39,2.15,2.22,2.17,1.97,1.74,1.66,1.74
Equity,GE Shipping Co,Shipping,2.16,2.19,1.87,1.7,1.56,1.52,1.5,1.41,1.34,1.35,1.43
Equity,Krishna Institu.,Healthcare,1.94,2.05,2.22,1.82,1.79,2.01,2.09,2.12,2.22,2.3,2.15
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.63,1.48,1.51,1.09,1.12,1.22,1.14,1.12,1.08,1.24,1.23
Equity,PVR Inox,Entertainment,1.59,1.38,1.31,1.1,1.12,1.17,1.3,1.2,1.27,1.13,1.11
Equity,Timken India,Bearings,1.57,1.67,1.62,1.38,1.38,1.42,1.34,1.12,0.93999,1.08,0.68999
Equity,Federal Bank,Banks,1.56,1.6,1.66,1.62,1.47,1.41,1.28,1.09,1.1,1.16,1.24
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,1.52,1.45,1.54,1.44,1.48,1.46,1.52,1.58,1.6,1.46,1.59
Equity,Sharda Cropchem,Agro Chemicals,1.52,1.39,1.72,1.52,1.25,1.23,1.22,1.21,1.41,1.69,1.23
