Positions Over Time - Helios Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25
Equity,MTAR Technologie,Aerospace & Defence,2.43,1.68,1.85,1.45,1.26,1.5
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,1.94,1.85,1.95,1.24,1.39,1.52
Equity,Shadowfax Techno,Logistics,1.93,1.32,1.4,0.91,-,-
Equity,Data Pattern,Aerospace & Defence,1.93,1.84,1.96,0.87,0.9,1.01
Equity,TD Power Systems,Capital Goods - Electrical Equipment,1.89,1.79,1.8,1.61,1.39,1.5
Equity,City Union Bank,Banks,1.81,1.68,1.71,1.68,1.7,1.5
Equity,Multi Comm. Exc.,Financial Services,1.78,1.84,1.56,1.79,2.06,1.97
Equity,BSE,Financial Services,1.7,-,-,-,-,-
Equity,Ather Energy,Automobile,1.69,1.75,1.66,1.61,1.64,1.53
Equity,Delhivery,Logistics,1.67,1.69,1.66,1.65,1.37,1.55
Equity,Phoenix Mills,Realty,1.65,1.58,1.49,1.67,1.94,2.02
Equity,Syrma SGS Tech.,Electronics,1.64,1.7,1.61,1.65,1.38,1.45
Equity,PNB Housing,Finance,1.62,0.98,1.08,1.19,1.38,1.5
Equity,One 97,E-Commerce/App based Aggregator,1.62,1.55,1.69,1.67,1.86,2.07
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.6,1.68,1.78,-,-,-
Equity,Acutaas Chemical,Pharmaceuticals,1.6,2.03,1.72,1.69,1.28,1.57
Equity,Amagi Media Labs,IT - Software,1.59,1.35,1.59,-,-,-
Equity,Black Box,IT - Software,1.57,1.41,1.69,1.81,1.48,-
Equity,Craftsman Auto,Auto Ancillaries,1.56,1.54,1.67,1.8,1.35,1.52
Equity,Mahindra Logis.,Logistics,1.54,1.38,1.22,-,-,-
Equity,Gokaldas Exports,Readymade Garments/ Apparells,1.51,1.6,1.29,0.81,1.14,1.53
Equity,Cartrade Tech,Retail,1.5,1.42,1.31,2.13,2.39,1.51
Equity,Carborundum Uni.,Capital Goods-Non Electrical Equipment,1.47,-,-,-,-,-
Equity,Cams Services,Financial Services,1.46,1.32,1.19,1.35,1.29,1.49
Equity,Park Medi World,Healthcare,1.45,1.21,0.73,0.65,0.65,-
Equity,Schaeffler India,Bearings,1.44,1.46,1.02,-,-,-
Equity,PB Fintech.,IT - Software,1.42,1.56,1.37,1.7,1.38,1.53
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.41,1.45,1.64,1.11,1.22,1.51
Equity,Lumax Auto Tech.,Auto Ancillaries,1.4,1.45,1.69,1.2,1.44,1.55
Equity,NBCC,Miscellaneous,1.4,1.39,1.41,1.67,1.51,1.5
Equity,Ingersoll-Rand,Capital Goods-Non Electrical Equipment,1.4,1.15,1.33,0.66,0.73,1.0
Equity,Tips Music,Entertainment,1.39,1.13,1.15,1.28,1.19,1.53
Equity,Health.Global,Healthcare,1.38,1.62,1.44,1.12,1.32,1.5
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.35,1.37,1.32,1.52,1.81,2.09
Equity,J B Chemicals &,Pharmaceuticals,1.32,1.71,1.71,1.72,1.49,1.5
Equity,Sedemac Mechatro,Electronics,1.32,1.39,-,-,-,-
Equity,Aadhar Hsg. Fin.,Finance,1.32,1.01,1.04,1.24,1.28,1.51
Equity,Carraro India,Auto Ancillaries,1.29,1.31,1.36,0.99,1.05,1.02
Equity,Inox India,Packaging,1.27,1.32,1.31,1.39,1.49,1.51
Equity,CCL Products,Plantation & Plantation Products,1.25,1.47,1.19,0.73,0.74,1.02
Equity,Travel Food,Quick Service Restaurant,1.24,1.28,1.03,0.99,1.14,1.45
Equity,ZF Commercial,Auto Ancillaries,1.24,1.49,1.65,1.8,1.3,-
Equity,Leela Palaces Ho,Hotels & Restaurants,1.21,1.48,1.65,1.56,1.69,1.52
Equity,GMR Airports,Miscellaneous,1.21,1.36,1.63,1.68,1.96,2.05
Equity,Timken India,Bearings,1.2,1.2,1.3,1.22,1.31,1.53
Equity,Edelweiss.Fin.,Finance,1.19,1.34,1.23,1.27,1.35,1.48
Equity,Prudent Corp.,Stock/ Commodity Brokers,1.18,1.17,1.08,1.07,1.19,1.49
Equity,Escorts Kubota,Automobile,1.17,1.26,1.63,1.74,2.01,-
Equity,Minda Corp,Auto Ancillaries,1.14,1.43,1.57,1.77,1.38,0.99
Equity,Lemon Tree Hotel,Hotels & Restaurants,1.12,1.23,1.39,1.75,1.72,1.56
Equity,Rainbow Child.,Healthcare,1.12,1.08,1.11,1.17,1.43,1.52
Equity,V2 Retail,Retail,1.11,1.13,0.93999,1.04,1.34,1.5
Equity,Alivus Life,Pharmaceuticals,1.1,1.32,1.25,1.45,1.46,1.52
Equity,IDFC First Bank,Banks,1.05,1.14,1.43,1.8,1.94,2.02
Equity,Allied Blenders,Alcoholic Beverages,1.05,1.02,0.81,0.92,1.22,1.51
Equity,ASK Automotive,Auto Ancillaries,1.0,0.2,-,-,-,-
Equity,Redington,Trading,0.99,1.18,1.66,1.78,1.46,1.48
Equity,Physicswallah,Education,0.98,1.01,1.01,1.54,1.8,1.44
Equity,Mahindra Life.,Construction,0.98,1.09,1.33,1.25,1.42,1.0
Equity,Swiggy,E-Commerce/App based Aggregator,0.97,1.2,1.15,1.31,1.71,1.97
Equity,Indegene,Healthcare,0.92,1.03,1.18,1.27,1.44,1.54
Equity,Piramal Pharma,Pharmaceuticals,0.9,0.97,1.12,1.23,1.43,1.52
Equity,Dodla Dairy,FMCG,0.86,0.98,1.18,1.33,1.47,1.37
Equity,Dr Lal Pathlabs,Healthcare,0.85,0.68999,0.73,0.82,0.91,0.99
Equity,CMS Info Systems,Miscellaneous,0.83,0.97,1.12,1.28,0.86,1.02
Equity,Latent View,IT - Software,0.82,0.73,0.99,1.04,1.23,1.53
Equity,Affle 3i,IT - Software,0.8,1.05,1.0,1.24,1.52,1.51
Equity,AAVAS Financiers,Finance,0.78,0.79,0.93999,1.18,1.25,1.47
Equity,Ethos,Retail,0.75,0.88,0.99,1.15,1.4,-
Equity,KFin Technolog.,Financial Services,0.74,0.93,1.02,1.2,1.34,1.51
Equity,Afcons Infrastr.,Infrastructure Developers & Operators,0.73,0.75,0.81,1.02,1.25,1.51
Equity,Bharti Hexacom,Telecom-Service,0.73,0.93,0.36,-,-,-
Equity,Intellect Design,IT - Software,0.68999,0.71,0.83,1.21,1.35,1.54
Equity,Gravita India,Non Ferrous Metals,0.67,0.7,0.86,0.93999,1.15,1.0
Equity,Jain Resource,Non Ferrous Metals,0.59,0.75,-,-,-,-
Equity,Max Financial,Miscellaneous,0.49,0.6,0.73,-,-,-
Equity,Fortis Health.,Healthcare,0.49,-,-,-,-,-
Equity,Quess Corp,Diversified,0.48,0.53,0.61,0.72,0.75,1.01
Equity,Safari Inds.,Plastic products,0.45,0.59,0.74,0.93,1.04,1.01
Equity,Ola Electric,Automobile,-,-,-,-,1.05,-
Equity,Le Travenues,E-Commerce/App based Aggregator,-,-,0.91,1.23,-,-
Equity,KPIT Technologi.,IT - Software,-,-,-,1.62,1.73,2.04
Equity,H P C L,Refineries,-,-,1.54,1.66,2.03,1.99
Equity,Ethos Ltd,Retail,-,-,-,-,-,1.44
Equity,Billionbrains,Stock/ Commodity Brokers,-,-,-,1.05,-,-
Equity,Angel One,Stock/ Commodity Brokers,-,-,-,1.04,1.0,1.49
Equity,Amagi Media Labs,Miscellaneous,-,-,-,1.69,-,-
Reverse Repo,TREPS,Debt Others,2.32,5.52,3.12,2.37,2.98,4.27
Net CA & Others,Net CA & Others,Debt Others,-0.65,-0.68999,-0.22,0.11,-0.51,-1.3
