Positions Over Time - Invesco India Smallcap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Amber Enterp.,Consumer Durables,4.87,4.77,5.5,4.25,4.14,3.61,2.52,1.9,-,-,-
Equity,Sai Life,Pharmaceuticals,4.79,5.22,5.08,4.58,4.87,4.86,5.2,5.28,5.28,4.13,2.99
Equity,Max Healthcare,Healthcare,4.12,4.39,3.87,3.65,-,-,-,-,-,-,-
Equity,Interglobe Aviat,Air Transport Service,3.88,4.27,3.71,3.81,4.0,2.67,2.62,2.83,2.98,3.03,4.57
Equity,Krishna Institu.,Healthcare,3.84,4.29,4.87,4.26,4.17,4.81,5.08,4.2,4.54,4.06,3.08
Equity,Aditya Infotech,Electronics,3.52,3.26,2.9,2.56,2.7,2.85,2.43,2.59,1.89,-,-
Equity,Eternal,E-Commerce/App based Aggregator,3.52,2.33,1.82,2.19,2.17,-,-,-,-,-,-
Equity,BSE,Financial Services,3.0,2.98,2.85,3.17,2.61,2.95,2.6,2.32,2.49,2.93,3.42
Equity,RBL Bank,Banks,2.69,2.77,2.9,2.67,-,-,-,-,-,-,-
Equity,Karur Vysya Bank,Banks,2.57,3.04,3.25,3.24,2.77,2.67,2.7,2.53,2.68,2.8,2.04
Equity,Prestige Estates,Realty,2.47,1.79,1.38,1.56,-,-,-,-,-,-,-
Equity,Trent,Retail,2.27,1.88,1.9,1.59,1.75,1.78,1.93,1.33,1.57,1.51,-
Equity,Global Health,Healthcare,2.22,2.29,2.57,2.03,2.24,2.41,2.37,2.58,2.81,2.73,2.42
Equity,Federal Bank,Banks,2.19,2.38,2.61,2.7,2.44,2.15,2.04,1.23,1.28,1.38,0.97
Equity,Corona Remedies,Pharmaceuticals,2.19,2.37,2.17,2.18,1.88,-,-,-,-,-,-
Equity,Ather Energy,Automobile,2.05,1.98,1.97,1.85,2.2,2.15,2.13,1.89,1.57,1.24,1.2
Equity,L&T Finance Ltd,Finance,1.89,1.94,2.18,2.37,2.55,2.58,2.31,2.3,2.09,1.99,2.07
Equity,JK Lakshmi Cem.,Cement,1.87,1.94,2.35,2.75,2.45,2.45,2.9,3.09,3.47,2.99,0.9
Equity,Delhivery,Logistics,1.83,1.95,1.92,2.17,2.02,2.19,2.47,2.58,2.8,2.07,-
Equity,Dr Agarwal's Hea,Healthcare,1.74,1.75,1.49,1.54,1.39,1.5,1.46,1.59,1.41,1.52,1.12
Equity,Ethos,Retail,1.68,1.83,1.93,1.07,1.22,-,-,-,-,-,-
Equity,AU Small Finance,Banks,1.67,1.67,1.79,1.98,1.96,1.74,1.65,-,-,-,-
Equity,IndusInd Bank,Banks,1.65,0.97,-,-,-,-,-,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,1.6,3.4,3.74,4.14,5.04,4.34,4.07,3.51,3.23,3.24,3.28
Equity,Craftsman Auto,Auto Ancillaries,1.59,1.73,1.52,1.6,1.64,1.54,1.51,1.34,1.42,1.09,0.9
Equity,Chola Financial,Finance,1.53,1.61,1.82,1.99,2.13,2.22,2.38,2.53,2.42,2.7,3.16
Equity,Wework India,Co-Working,1.53,1.53,1.58,1.95,-,-,-,-,-,-,-
Equity,ZF Commercial,Auto Ancillaries,1.47,1.65,1.51,1.61,1.56,1.42,1.38,1.39,0.87,0.83,0.87
Equity,Aether Industri.,Chemicals,1.41,1.58,0.38,0.34,0.28,0.3,0.26,0.28,0.29,0.31,0.31
Equity,A B Real Estate,Realty,1.4,1.27,1.39,1.47,1.89,2.06,2.25,2.19,2.37,2.59,3.42
Equity,Kwality Wall's,FMCG,1.32,1.31,1.31,-,-,-,-,-,-,-,-
Equity,Brigade Enterpr.,Realty,1.3,1.28,1.29,1.51,1.74,1.8,2.16,2.02,2.17,1.88,1.9
Equity,Anand Rathi Wea.,Finance,1.3,1.31,1.26,1.28,1.35,1.28,1.41,1.4,1.44,1.39,1.16
Equity,CEAT,Tyres,1.23,0.67,-,-,-,-,-,-,-,-,-
Equity,Go Digit General,Insurance,1.23,1.55,1.52,1.58,1.64,1.74,1.8,1.88,2.03,2.14,1.59
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,1.19,1.11,1.11,1.0,1.02,0.96,0.88,0.88,0.9,0.92,0.88
Equity,Safari Inds.,Plastic products,1.18,1.44,1.21,1.11,1.02,1.16,1.05,1.17,1.2,1.19,1.25
Equity,Leela Palaces Ho,Hotels & Restaurants,1.15,1.32,1.39,1.39,1.3,1.26,1.37,-,-,-,-
Equity,Angel One,Stock/ Commodity Brokers,1.14,1.01,0.98,1.15,1.04,1.23,1.17,1.08,1.17,1.4,1.61
Equity,Paradeep Phosph.,Fertilizers,1.12,-,-,-,-,-,-,-,-,-,-
Equity,Sonata Software,IT - Software,1.05,1.04,1.26,1.6,1.69,1.72,1.83,1.86,1.97,1.97,1.86
