Positions Over Time - JM Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Garware Hi Tech,Packaging,4.75384,5.04418,5.513717,4.05679,3.74016,4.4558,3.92955,3.53067,3.29926,4.13906,4.54168
Equity,Godfrey Phillips,Tobacco Products,4.15131,4.21284,4.655358,4.61045,5.58787,5.47968,5.75796,6.60121,7.28752,5.90345,5.57431
Equity,Acutaas Chemical,Pharmaceuticals,3.71238,4.88598,3.574021,3.2588,3.03121,3.0816,3.06948,2.44116,2.35807,2.17815,1.79963
Equity,Navin Fluo.Intl.,Chemicals,3.12469,2.99875,2.384125,2.21712,2.34321,1.4479,1.18378,1.00298,0.65533,3.0371,2.52663
Equity,TD Power Systems,Capital Goods - Electrical Equipment,3.06284,2.73631,2.517008,2.29534,1.97284,2.28788,2.74814,2.18485,1.89014,1.87971,1.76397
Equity,Jana Small Finan,Banks,3.06008,2.90993,2.66051,2.65593,2.80501,2.82132,2.84062,3.04199,3.17839,3.00387,3.11228
Equity,OneSource Speci.,Pharmaceuticals,3.02548,3.10213,2.277972,1.98427,2.6862,2.01814,2.39548,2.47926,2.59629,2.65001,2.60474
Equity,Shaily Engineer.,Plastic products,2.81733,3.17699,2.535113,2.24734,2.37199,2.57306,2.20633,2.20168,2.29925,1.40754,1.0796
Equity,Amber Enterp.,Consumer Durables,2.7243,3.50818,3.703204,2.73215,3.18097,3.37204,3.72514,3.90951,3.27286,3.39992,3.0359
Equity,CreditAcc. Gram.,Finance,2.58287,3.19636,3.615189,4.11736,3.89177,3.85232,4.02318,3.98744,3.82334,3.07959,2.86005
Equity,Restaurant Brand,Quick Service Restaurant,2.51286,2.66292,2.562222,2.42962,2.15896,2.00946,2.12739,2.53954,2.68542,2.67705,2.60114
Equity,Multi Comm. Exc.,Financial Services,2.50027,2.49592,2.32612,2.4771,3.09,2.63545,2.3721,2.57833,2.48936,2.53544,3.28182
Equity,J & K Bank,Banks,2.38206,1.96576,2.162387,1.91977,1.54097,1.33438,0.76817,-,-,-,-
Equity,Five-Star Bus.Fi,Finance,2.15227,0.60158,0.680988,0.76608,1.63316,1.48448,1.47968,1.08422,1.12171,0.90535,1.12773
Equity,Thangamayil Jew.,"Diamond, Gems and Jewellery",1.75924,1.85581,2.01257,1.73729,1.50556,1.43357,1.20779,1.10516,1.26088,1.0341,0.97613
Equity,City Union Bank,Banks,1.75427,1.88442,1.927951,1.77886,1.53105,1.23656,1.02318,0.99714,0.93161,0.58602,0.57322
Equity,Krishna Institu.,Healthcare,1.64847,1.85884,1.931881,1.44291,1.29903,1.75412,1.8109,1.83346,1.82962,1.5407,-
Equity,Avalon Tech,Consumer Durables,1.63979,1.74104,1.657731,1.43675,1.4862,1.58418,1.95873,1.80016,1.50931,1.50363,1.51429
Equity,Fusion Finance,Finance,1.5833,0.9001,0.578616,-,-,-,-,-,-,-,-
Equity,Carraro India,Auto Ancillaries,1.57225,1.5726,1.53412,1.37639,1.24419,1.19796,1.09419,0.99518,0.91196,1.04463,0.94792
Equity,Northern Arc,Finance,1.5091,-,-,-,-,-,-,-,-,-,-
Equity,Garden Reach Sh.,Aerospace & Defence,1.4277,1.40906,1.507227,1.98186,1.39115,-,-,-,-,-,-
Equity,Yatra Online,E-Commerce/App based Aggregator,1.39947,1.44967,1.649214,1.88099,1.97151,1.30016,0.9486,-,-,-,-
Equity,Sagility,IT - Software,1.3617,1.3625,1.169391,1.4399,1.33981,0.80627,-,-,-,-,-
Equity,Syrma SGS Tech.,Electronics,1.34481,1.24242,1.145596,1.09125,0.93893,0.99045,1.02943,1.01217,0.60237,-,-
Equity,Zuari Industries,Sugar,1.33635,1.33458,1.427694,1.4915,1.56933,1.4352,1.40332,1.46745,1.27634,1.25971,1.11187
Equity,Indo Count Inds.,Textiles,1.30931,1.46953,1.356305,0.86311,0.92339,0.99995,0.81986,0.8151,0.73199,0.84146,0.88278
Equity,Firstsour.Solu.,IT - Software,1.26103,1.60326,1.449525,2.23871,2.09911,2.03809,1.95284,1.98201,2.15505,1.91245,1.96386
Equity,Titagarh Rail,Capital Goods-Non Electrical Equipment,1.24772,1.3036,1.410622,1.70051,1.64998,1.44188,1.51331,1.55703,1.49986,1.75064,1.83902
Equity,Neuland Labs.,Pharmaceuticals,1.24001,1.30979,1.210866,1.39322,1.51133,1.92491,1.79912,1.66318,1.56063,1.50716,1.19514
Equity,Lumax Auto Tech.,Auto Ancillaries,1.21396,1.46013,1.51587,1.19681,1.2246,0.88053,0.63399,-,-,-,-
Equity,Tinna Rubber,Plantation & Plantation Products,1.21002,1.09007,1.413593,1.34195,1.51063,1.52747,1.70505,1.74685,1.51423,1.67815,-
Equity,Suraksha Diagno.,Healthcare,1.19129,1.16697,1.204773,1.21486,1.1001,1.12589,1.19965,1.17375,1.1953,1.17987,1.22183
Equity,Equitas Sma. Fin,Banks,1.18418,1.10843,1.195762,1.11705,0.89632,0.8608,0.74999,0.78461,0.70258,0.91448,0.99248
Equity,Ather Energy,Automobile,1.18192,1.1531,0.832492,0.74877,0.69429,-,-,-,-,-,-
Equity,Marksans Pharma,Pharmaceuticals,1.14471,1.1206,1.060864,1.00249,0.98515,0.61409,-,-,-,-,-
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.1259,1.23503,1.288346,1.78558,2.43541,3.21812,3.32806,3.17063,3.09822,3.22116,2.94822
Equity,CEAT,Tyres,1.00737,0.85735,0.85341,0.01875,-,-,-,-,-,-,-
Equity,ZF Commercial,Auto Ancillaries,1.00115,1.21053,1.155878,0.93711,0.83074,0.69514,0.64158,0.69486,0.6885,0.54092,0.52649
Equity,Shyam Metalics,Steel,0.96735,1.03266,0.998829,1.02318,0.90463,0.81897,0.86645,0.93991,0.94895,1.01183,0.85547
Equity,Bharat Bijlee,Capital Goods - Electrical Equipment,0.96369,0.77878,0.896818,1.34196,1.14486,1.16127,1.1927,1.16168,0.78746,0.77315,0.7718
Equity,Gravita India,Non Ferrous Metals,0.96246,-,-,-,-,-,-,-,-,-,-
