Positions Over Time - Kotak Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Aster DM Health.,Healthcare,4.56,5.2,4.56,3.97,4.2,4.49,4.42,4.22,4.04,3.97,3.89
Equity,Vijaya Diagnost.,Healthcare,3.7,3.33,3.49,3.43,3.6,3.16,2.97,3.1,3.12,3.14,2.61
Equity,Krishna Institu.,Healthcare,3.24,3.47,3.73,3.12,2.98,3.32,3.38,3.39,3.5,3.55,3.16
Equity,Sansera Enginee.,Auto Ancillaries,3.0,3.58,3.63,2.77,2.54,2.63,2.2,2.05,2.04,2.1,2.15
Equity,Techno Elec.Engg,Infrastructure Developers & Operators,2.68,2.37,2.53,2.17,2.28,2.52,2.67,2.78,3.19,3.0,3.28
Equity,Century Plyboard,Plywood Boards/Laminates,2.67,2.7,2.54,2.86,2.8,2.68,2.77,3.08,2.83,2.71,2.79
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,2.56,2.49,2.63,2.5,2.49,2.46,2.49,2.49,2.48,2.13,2.24
Equity,Minda Corp,Auto Ancillaries,1.97,1.85,1.79,1.87,1.74,1.74,1.63,1.66,1.45,1.24,1.22
Equity,Shriram Finance,Finance,1.94,2.07,2.04,1.98,1.66,1.21,1.03,0.87,0.82,0.87,0.97
Equity,Five-Star Bus.Fi,Finance,1.92,1.57,1.44,1.62,1.74,1.39,1.34,1.09,0.95,1.01,-
Equity,ICICI Bank,Banks,1.91,2.02,1.42,1.44,1.06,1.09,1.02,0.9,0.93,0.96,0.93
Equity,Brigade Enterpr.,Realty,1.87,1.77,1.69,1.89,2.11,2.11,2.37,2.11,2.17,2.31,2.53
Equity,Ajanta Pharma,Pharmaceuticals,1.86,2.12,2.16,2.07,1.96,1.79,1.67,1.68,1.73,1.87,1.74
Equity,Medplus Health,Retail,1.79,1.98,1.8,1.75,1.67,1.66,1.51,1.55,1.72,1.86,1.8
