Positions Over Time - LIC MF Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Garware Hi Tech,Packaging,3.62,1.96,2.22,1.64,1.61,1.84,1.34,0.8,-,-,-
Equity,Navin Fluo.Intl.,Chemicals,3.03,2.83,2.62,2.64,2.43,2.1,1.99,1.66,1.76,1.85,1.81
Equity,Manorama Indust.,FMCG,2.75,2.45,2.82,2.75,2.35,2.28,2.35,2.41,2.45,2.69,2.64
Equity,Avalon Tech,Consumer Durables,2.74,2.47,2.47,2.14,2.08,2.13,2.5,2.36,2.04,1.83,1.33
Equity,Allied Blenders,Alcoholic Beverages,2.63,2.39,2.56,2.7,3.23,3.44,3.34,2.62,2.73,2.72,2.32
Equity,Schneider Elect.,Capital Goods - Electrical Equipment,2.52,2.05,2.0,1.58,1.44,1.43,1.05,1.05,0.56,-,-
Equity,KSH Internationa,Non Ferrous Metals,2.5,2.14,1.66,1.56,1.41,-,-,-,-,-,-
Equity,Carraro India,Auto Ancillaries,2.19,1.67,1.38,1.43,0.99,-,-,-,-,-,-
Equity,Bharat Bijlee,Capital Goods - Electrical Equipment,2.14,1.52,1.64,1.95,1.76,1.9,1.9,2.02,1.74,1.4,1.5
Equity,Arvind Fashions.,Retail,2.07,-,-,-,-,-,-,-,-,-,-
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,2.03,2.37,2.27,1.97,1.94,1.79,1.52,1.43,1.47,1.44,1.3
Equity,Gillette India,FMCG,1.98,1.1,0.96,-,-,-,-,-,-,-,-
Equity,KSB,Capital Goods-Non Electrical Equipment,1.96,1.91,1.68,1.6,1.61,1.64,1.62,1.72,1.81,1.8,1.79
Equity,Motherson Wiring,Auto Ancillaries,1.93,-,-,-,-,-,-,-,-,-,-
Equity,Transport Corp.,Logistics,1.91,1.41,1.4,1.53,1.47,0.84,0.82,0.23,-,-,-
