Positions Over Time - Mirae Asset Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,2.95574,2.288923,2.232191,1.966167,2.18728,2.0692,2.42701,2.18724,1.98776,1.82895,2.05184
Equity,Karur Vysya Bank,Banks,2.73055,3.44731,3.55422,3.76216,3.36365,3.18346,3.11595,3.05562,2.8268,2.6785,2.65238
Equity,Chola Financial,Finance,2.6821,2.9113,3.07102,3.32939,3.20073,3.12707,2.9771,2.98611,2.65729,2.69162,3.18624
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,2.66154,2.17796,2.29049,1.95665,2.07478,2.0197,1.82132,1.89207,1.73817,1.87318,1.99163
Equity,Godawari Power,Steel,2.37646,2.325913,2.108402,2.029069,2.21302,2.00622,2.42928,2.32724,2.30229,1.7048,1.71946
Equity,Anthem Bioscienc,Pharmaceuticals,2.34414,1.91315,1.2486,1.01858,1.13099,0.81445,0.41522,0.19537,0.03403,0.03381,-
Equity,Krishna Institu.,Healthcare,2.09382,1.64348,1.97637,1.71508,1.76585,1.92973,1.70773,1.56832,1.80806,2.00913,2.03512
Equity,CRISIL,Credit Rating Agencies,2.04669,1.95862,1.76353,1.08784,-,-,-,-,-,-,-
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,2.03002,-,-,-,-,-,-,-,-,-,-
Equity,Tenneco Clean,Auto Ancillaries,2.01632,2.05169,1.94989,1.84331,1.65059,1.60847,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,1.94147,2.059325,2.112368,2.340475,2.08528,1.98962,1.92661,1.83702,1.94168,1.93614,2.29291
Equity,DCB Bank,Banks,1.92938,1.95898,1.87982,2.10181,1.76537,1.98615,1.80342,1.68848,1.8178,2.10314,1.30957
Equity,Dr Lal Pathlabs,Healthcare,1.90855,1.661365,1.756816,1.894239,1.83,1.7974,1.89478,2.00107,2.36781,2.41443,1.95176
Equity,C D S L,Financial Services,1.88791,2.069678,2.091533,2.047681,1.96272,1.44315,1.13409,1.08762,-,-,-
Equity,Neuland Labs.,Pharmaceuticals,1.83798,1.407859,1.505965,1.580853,1.53755,1.42736,1.43526,1.43862,1.47781,1.43062,1.4602
Equity,J K Cements,Cement,1.82487,2.16924,2.25254,1.71965,1.55324,1.60557,1.46419,1.67824,2.06333,2.11802,2.2097
Equity,Home First Finan,Finance,1.81526,1.676355,2.012975,2.117999,1.08657,0.43935,-,-,-,-,-
Equity,KFin Technolog.,Financial Services,1.69772,1.93708,1.87607,1.72088,1.6715,1.05119,0.62508,0.67682,0.57242,0.43574,0.61259
Equity,Atul,Chemicals,1.68656,1.82529,1.51088,1.40599,1.41954,1.43218,1.48266,1.76245,1.76593,1.99657,1.7929
Equity,Triveni Turbine,Capital Goods - Electrical Equipment,1.66525,1.633,1.646145,1.615985,1.76358,1.85549,1.83854,1.82244,2.03268,2.27578,1.92569
Equity,Narayana Hrudaya,Healthcare,1.62269,1.688187,1.711043,1.769266,1.92155,2.08409,1.96953,1.9856,1.91873,1.41955,1.81724
Equity,Motherson Wiring,Auto Ancillaries,1.61198,1.824416,1.973562,1.944556,2.12372,1.997,1.97552,1.97309,2.00033,1.53197,1.13294
Equity,Timken India,Bearings,1.60369,1.82803,1.97453,1.79103,1.84584,2.04501,1.67207,1.68503,1.39443,1.13929,1.35655
Equity,Coromandel Inter,Fertilizers,1.59709,-,-,-,-,-,-,-,-,-,-
Equity,Cams Services,Financial Services,1.57808,1.38566,1.382691,1.518803,1.53905,1.69599,1.82257,1.96498,2.05721,1.90748,1.92252
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.50341,1.64716,1.78848,1.855,2.05342,2.30056,1.85251,2.06181,1.84613,1.78931,1.82221
Equity,L&T Finance Ltd,Finance,1.44113,1.31474,0.27834,0.30059,0.33876,0.35324,0.32281,0.33633,0.3267,0.32637,0.3749
Equity,eClerx Services,IT - Software,1.40407,1.400557,1.509877,2.010817,2.06284,1.38193,1.51502,1.45487,1.80279,1.81597,1.90653
Equity,Can Fin Homes,Finance,1.3702,1.556864,1.662994,2.022045,2.05339,2.05988,1.93297,1.69329,1.7754,1.91622,2.196
Equity,Sagility,IT - Software,1.28636,1.40331,1.39361,1.55202,1.54883,1.57272,1.74118,1.59831,-,-,-
Equity,Sundaram Finance,Finance,1.28608,1.29945,0.33163,-,-,-,-,-,-,-,-
Equity,Saatvik Green,Capital Goods - Electrical Equipment,1.24416,1.18709,0.88185,0.96111,0.93985,1.08271,1.2512,0.47394,-,-,-
Equity,Navin Fluo.Intl.,Chemicals,1.23844,1.589263,1.618563,1.689615,1.75137,1.78971,1.96477,1.9964,1.19491,1.37789,1.4863
Equity,Cera Sanitary.,Ceramic Products,1.22837,1.25156,1.00078,1.06185,1.13565,1.26682,1.50332,1.6821,1.72272,1.5903,1.143
Equity,Elgi Equipments,Capital Goods-Non Electrical Equipment,1.22801,-,-,-,-,-,-,-,-,-,-
Equity,Vesuvius India,Refractories,1.21244,0.85808,0.69391,0.65535,0.62836,0.6496,0.70834,0.83214,0.90977,0.99949,1.20963
Equity,Brigade Enterpr.,Realty,1.1963,0.78958,0.84476,0.98051,1.17822,1.25692,1.36661,1.33411,1.36194,1.26144,1.56919
Equity,Canara HSBC,Insurance,1.14579,1.33325,1.3611,1.50026,1.54109,1.3498,1.34708,-,-,-,-
Equity,J B Chemicals &,Pharmaceuticals,1.14481,1.09911,0.80804,0.78779,0.78321,0.80413,0.80594,0.92599,1.04134,1.14419,1.22677
Equity,GNG Electronics,Trading,1.09199,1.04798,1.11242,0.77452,0.97041,1.10391,1.17599,1.3811,1.51276,1.56915,-
Equity,Mankind Pharma,Pharmaceuticals,1.08728,0.99628,0.98459,0.9964,1.05246,1.13764,1.27146,1.46861,1.37617,1.53076,1.26443
Equity,Safari Inds.,Plastic products,1.06699,1.33731,1.54957,1.87613,1.8161,1.96097,1.81131,2.09907,2.18794,1.5788,1.30554
Equity,Sai Life,Pharmaceuticals,1.0126,1.00834,1.03881,0.93069,1.03399,1.0618,1.12139,1.18838,1.26967,1.3328,1.44048
