Positions Over Time - Motilal Oswal Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,CCL Products,Plantation & Plantation Products,4.098833,4.60327,4.43682,4.49431,4.07781,3.96338,3.37988,3.49071,3.55555,3.587,3.45839
Equity,Rubicon Research,Pharmaceuticals,3.830116,3.78049,3.26153,3.00841,2.68598,2.68926,2.38315,-,-,-,-
Equity,Va Tech Wabag,Infrastructure Developers & Operators,3.777243,3.28916,3.03394,2.52066,2.6046,2.55481,2.62896,2.81041,2.83551,2.81922,2.28237
Equity,Karur Vysya Bank,Banks,3.641993,4.30424,4.32139,5.00279,4.09902,3.86246,3.80816,3.72971,3.81351,3.80496,3.58457
Equity,Aditya Infotech,Electronics,3.232224,3.24486,3.101,0.16645,0.1617,0.16024,-,-,-,-,-
Equity,Dr Agarwal's Hea,Healthcare,3.055289,3.30951,3.17659,2.97432,4.27789,4.34845,4.08484,4.26566,3.77614,3.82235,3.33399
Equity,Vijaya Diagnost.,Healthcare,2.830943,2.55848,2.5632,2.39287,2.46893,2.28423,2.22688,2.4085,2.32522,2.32437,2.11092
Equity,Campus Activewe.,Leather,2.715556,2.87039,2.88331,3.1924,3.08002,3.06546,3.00427,2.8993,2.79242,2.74071,2.81123
Equity,Shaily Engineer.,Plastic products,2.652461,2.61656,2.24144,2.25729,2.51821,2.86128,2.64583,2.70762,2.88384,2.37483,2.47055
Equity,Pricol Ltd,Auto Ancillaries,2.406521,2.52799,2.61882,2.40064,2.55975,2.47977,2.11684,2.20518,1.96395,1.8098,1.94071
Equity,Aditya Vision,Retail,2.354608,2.45019,2.05685,2.00606,1.7993,1.62386,1.5817,1.49701,-,-,-
Equity,V2 Retail,Retail,2.225151,2.88907,2.66574,2.64633,3.00776,2.85337,2.08822,2.53361,2.09415,2.10143,2.15725
Equity,Rainbow Child.,Healthcare,2.167309,2.31389,1.91759,1.8541,1.90291,2.49784,2.51386,2.66172,2.76018,2.60926,2.53406
Equity,Sky Gold & Diam.,"Diamond, Gems and Jewellery",2.128802,2.19206,2.17599,1.8771,1.9726,1.8803,2.00142,1.41321,1.55844,1.55594,1.7132
Equity,Gabriel India,Auto Ancillaries,2.030506,1.93213,1.91824,1.78007,1.73639,1.40623,1.65538,1.64154,1.77965,1.45155,-
Equity,Asahi India Glas,Glass & Glass Products,2.001697,2.2196,2.28276,2.56309,2.40873,2.36049,2.14603,2.04917,-,-,-
Equity,V-Mart Retail,Retail,1.970727,2.16429,2.14833,2.34802,2.32236,2.41857,2.53563,2.15428,2.23037,2.20643,2.28539
Equity,JM Financial,Finance,1.960914,1.92003,1.94667,1.988,2.06916,1.94572,2.08517,2.08592,2.06334,1.58317,1.4283
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.927197,2.27286,2.35526,2.00829,1.98353,2.16224,2.05815,2.07974,2.03289,2.33051,2.42815
Equity,Five-Star Bus.Fi,Finance,1.913738,1.68822,1.76386,1.92705,2.11561,2.13441,2.16289,1.78526,1.83245,1.83373,2.13255
Equity,Syrma SGS Tech.,Electronics,1.865692,1.75361,1.61319,1.45998,1.2169,1.26648,1.19833,1.09592,1.06467,-,-
Equity,MTAR Technologie,Aerospace & Defence,1.703078,1.1052,1.31717,1.00686,0.73588,0.70704,-,-,-,-,-
Equity,Varroc Engineer,Auto Ancillaries,1.660731,1.74291,1.847,1.99243,1.79854,1.96971,1.8082,1.71847,1.60956,1.60949,1.72287
Equity,Aegis Vopak Term,Logistics,1.52517,1.48146,1.78395,1.82062,1.73582,1.67087,1.62648,1.56664,0.98512,0.91634,1.05356
Equity,Multi Comm. Exc.,Financial Services,1.511655,1.45691,1.33142,2.61595,2.75013,2.65554,2.76831,2.36633,2.23278,2.12763,2.19393
Equity,Thirumalai Chem.,Chemicals,1.486856,1.41769,1.44814,1.49852,1.65392,1.54833,1.7214,1.78435,1.62192,-,-
Equity,City Union Bank,Banks,1.476436,1.57149,1.69808,1.83683,1.66821,1.38996,-,-,-,-,-
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,1.463423,1.67955,1.62648,1.49152,1.51886,1.45118,1.27764,1.29072,1.25393,1.41523,1.54762
Equity,DCB Bank,Banks,1.461636,1.4852,1.5101,1.63546,1.31327,1.11946,-,-,-,-,-
Equity,PG Electroplast,Consumer Durables,1.44876,1.74204,1.99265,1.64261,1.42905,1.311,1.24381,1.14726,-,-,-
Equity,Triveni Turbine,Capital Goods - Electrical Equipment,1.435755,1.32041,1.34466,1.20456,1.2181,1.20999,1.213,1.25743,1.20045,2.08933,2.45782
Equity,OneSource Speci.,Pharmaceuticals,1.408936,1.13381,0.94958,-,-,-,-,-,-,-,-
Equity,KEI Industries,Cables,1.387251,1.51612,1.94472,1.81488,1.87954,1.73969,1.70131,1.83285,1.75144,1.75826,1.70462
Equity,Chalet Hotels,Hotels & Restaurants,1.331716,1.47946,1.50659,1.64525,1.55192,1.38855,1.49595,1.55014,1.6493,1.46087,2.01071
Equity,Bharat Dynamics,Aerospace & Defence,1.31944,1.47926,1.56271,2.18048,1.92461,1.93068,1.96218,1.99733,1.71269,1.71072,-
Equity,eClerx Services,IT - Software,1.270146,1.47784,1.54728,2.25259,2.11812,2.0169,2.40729,2.18646,2.32684,2.02825,1.9111
Equity,Deepak Fertilis.,Chemicals,1.257468,1.08281,1.08635,1.18177,1.35996,1.34155,1.43839,1.38538,1.18675,1.3605,-
Equity,Gokaldas Exports,Readymade Garments/ Apparells,1.24063,1.22602,1.20762,1.13124,1.40162,1.7445,1.58547,1.45589,1.4083,1.81146,1.94342
Equity,C D S L,Financial Services,1.211386,1.27776,1.27731,1.36027,1.40409,1.54573,1.52538,1.49891,1.33696,0.91837,1.12659
Equity,Chola Financial,Finance,1.200785,1.23884,1.36136,1.41433,1.4631,1.48377,1.54557,1.6288,1.54315,1.62828,2.30605
Equity,A B Real Estate,Realty,1.193228,1.08067,1.13682,1.11463,1.30635,1.37766,1.46574,1.41087,1.48414,1.50737,1.80416
Equity,Birlasoft Ltd,IT - Software,1.184304,1.27771,1.37237,1.53441,1.26329,1.05905,0.52481,-,-,-,-
Equity,Sonata Software,IT - Software,1.016577,1.00721,1.18007,1.43272,1.42171,1.22562,0.80043,-,-,-,-
Equity,P N Gadgil Jewe.,"Diamond, Gems and Jewellery",1.004522,0.97784,0.90196,0.92193,0.9612,0.99218,1.02623,1.24383,1.22033,1.23952,1.24799
Equity,KEC International,Infrastructure Developers & Operators,0.924311,-,-,-,-,-,-,-,-,-,-
Equity,Wework India,Co-Working,0.834218,0.83265,0.83096,0.98025,-,-,-,-,-,-,-
Equity,Jain Resource,Non Ferrous Metals,0.81991,0.98571,0.78194,0.83359,0.79561,0.75987,0.74036,0.47575,-,-,-
Equity,Sagility,IT - Software,0.701879,0.80518,0.72986,0.94558,0.92997,0.89182,0.94077,1.12529,-,-,-
Equity,Rossari Biotech,Chemicals,0.630858,0.62564,0.75087,0.87638,0.8533,0.87603,0.93181,0.88414,1.27604,1.3758,1.25117
