Positions Over Time - Nippon India Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,HDFC Bank,Banks,1.89,1.81,2.01,2.16,1.93,1.95,1.9,1.91,1.95,2.04,2.0
Equity,Multi Comm. Exc.,Financial Services,1.76,2.07,2.89,3.37,3.02,2.72,2.48,2.18,2.11,2.16,2.49
Equity,B H E L,Capital Goods - Electrical Equipment,1.67,1.29,1.16,1.18,1.24,1.25,1.1,1.03,0.88,0.99,1.1
Equity,TD Power Systems,Capital Goods - Electrical Equipment,1.54,1.34,1.3,1.13,1.05,1.16,1.15,0.92,0.8,0.8,0.77
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.49,1.41,1.45,1.07,1.1,1.2,1.13,1.11,1.07,1.22,1.18
Equity,Karur Vysya Bank,Banks,1.29,1.49,1.54,1.64,1.47,1.38,1.34,1.22,1.26,1.27,1.28
Equity,Zydus Wellness,FMCG,1.21,1.18,0.97,1.16,1.13,1.06,1.16,1.16,1.05,1.04,1.02
Equity,NLC India,Power Generation & Distribution,1.18,1.17,1.04,1.06,0.99,0.96,1.03,1.17,0.93999,1.0,0.93999
Equity,SBI,Banks,1.18,1.27,1.42,1.69,1.49,1.48,1.41,1.2,1.13,1.1,-
Equity,Kirl. Brothers,Capital Goods-Non Electrical Equipment,1.08,0.98,1.06,1.06,1.05,1.1,1.22,1.3,1.34,1.34,1.58
Equity,Whirlpool India,Consumer Durables,1.06,0.92,0.98,0.8,0.74,0.8,1.02,0.89,0.99,1.0,0.96
Equity,Volt.Transform.,Capital Goods - Electrical Equipment,1.04,0.9,0.86,0.72,0.74,0.76,0.68999,0.7,0.77,0.86,0.92
Equity,Axis Bank,Banks,1.04,1.12,1.22,1.24,1.11,1.12,1.07,1.02,0.96,0.87,0.75
Equity,Emami,FMCG,1.03,1.07,1.13,1.17,1.22,1.0,0.95,0.85,0.93,0.95,0.86
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,1.01,1.02,1.02,0.89,0.96,1.01,1.1,1.17,1.14,1.08,1.17
Equity,Sundram Fasten.,Auto Ancillaries,0.96,1.0,0.72,0.77,0.72,0.68999,0.68999,0.76,0.79,0.75,0.78
Equity,Elantas Beck,Chemicals,0.88,0.88,0.88,0.82,0.92,0.92,0.91,0.97,1.11,1.21,1.24
Equity,Kirloskar Oil,Capital Goods-Non Electrical Equipment,0.87,0.8,0.77,0.66,0.66,0.61,0.54,0.52,0.51,0.51,0.48
Equity,Sai Life,Pharmaceuticals,0.86,0.92,0.86,0.73,0.77,0.74,0.77,0.75,0.73,0.71,0.67
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,0.85,0.68999,0.71,0.71,0.64,0.65,0.67,0.75,0.77,0.82,0.87
Equity,Aster DM Health.,Healthcare,0.85,1.03,0.92,0.8,0.86,0.92,0.93999,0.9,0.89,0.89,0.86
Equity,MTAR Technologie,Aerospace & Defence,0.83,0.52,0.52,0.41,0.33,0.34,0.34,0.26,0.2,0.21,0.22
Equity,Infosys,IT - Software,0.81,1.21,0.38,-,-,-,-,-,-,0.23,0.24
