Positions Over Time - Samco Small Cap Fund - Direct (G)
Type,Name,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25
Equity,Karur Vysya Bank,Banks,3.74,4.09,4.65,4.78,4.55,3.83
Equity,Aditya AMC,Finance,3.62,3.11,3.1,2.88,2.52,-
Equity,Sterlite Tech.,Cables,3.44,2.03,0.51,-,-,0.18
Equity,J B Chemicals &,Pharmaceuticals,3.25,3.02,3.22,2.92,2.74,-
Equity,Finolex Cables,Cables,3.13,-,-,-,-,-
Equity,Angel One,Stock/ Commodity Brokers,2.58,2.39,2.03,1.83,-,-
Equity,Engineers India,Infrastructure Developers & Operators,2.45,2.68,2.23,2.43,2.05,2.33
Equity,Can Fin Homes,Finance,2.4,2.69,2.84,2.6,2.67,-
Equity,Timken India,Bearings,2.39,2.28,2.48,2.4,-,-
Equity,Gravita India,Non Ferrous Metals,2.05,2.23,2.07,2.62,2.25,-
Equity,Elgi Equipments,Capital Goods-Non Electrical Equipment,2.02,1.86,-,-,-,-
Equity,Pfizer,Pharmaceuticals,1.94,2.13,2.46,2.35,2.32,2.17
Equity,L T Foods,FMCG,1.92,2.27,2.21,2.19,2.21,1.96
Equity,eClerx Services,IT - Software,1.85,1.88,2.11,2.16,3.76,3.65
Equity,Motherson Wiring,Auto Ancillaries,1.83,2.04,2.14,2.28,2.35,-
Equity,Godawari Power,Steel,1.76,1.95,2.04,1.77,1.77,1.65
Equity,MTAR Technologie,Aerospace & Defence,1.73,1.52,0.93999,0.93999,0.81,0.56
Equity,Metropolis Healt,Healthcare,1.64,1.51,1.59,1.55,1.62,1.44
Equity,Dr Lal Pathlabs,Healthcare,1.54,1.41,1.56,1.46,1.59,1.43
Equity,Bayer Crop Sci.,Agro Chemicals,1.48,1.68,-,-,-,-
Equity,Natco Pharma,Pharmaceuticals,1.29,-,-,-,-,-
Equity,Lumax Auto Tech.,Auto Ancillaries,1.29,1.3,1.41,1.48,1.27,1.23
Equity,Data Pattern,Aerospace & Defence,1.18,1.28,0.5,-,-,-
Equity,TD Power Systems,Capital Goods - Electrical Equipment,1.05,0.99,0.84,0.81,0.73,0.61
Equity,Avalon Tech,Consumer Durables,1.01,0.76,0.77,1.11,-,-
Equity,Jamna Auto Inds.,Auto Ancillaries,0.98,1.0,1.07,1.28,1.17,1.69
Equity,Sun TV Network,Entertainment,0.93999,1.21,1.31,-,-,-
Equity,Black Box,IT - Software,0.92,-,-,-,-,-
Equity,Indian Metals,Ferro Alloys,0.89,1.0,0.92,0.88,0.84,0.91
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,0.86,-,-,-,-,-
Equity,Karnataka Bank,Banks,0.85,0.92,0.47,-,-,-
Equity,Anupam Rasayan,Chemicals,0.81,0.91,1.55,1.4,1.45,1.3
Equity,Dynamatic Tech.,Capital Goods-Non Electrical Equipment,0.79,0.88,0.79,0.8,0.31,-
Equity,Garware Hi Tech,Packaging,0.79,-,-,-,-,-
