Positions Over Time - Aditya Birla SL Value Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Welspun Corp,Capital Goods-Non Electrical Equipment,3.61244,2.89273,2.64629,2.3433,2.5496,2.70206,3.07489,2.8522,2.9148,3.21773,3.05905
Equity,Reliance Industr,Refineries,3.56236,4.14119,3.86957,3.88177,4.25622,4.03517,3.86134,3.70231,3.91207,3.86263,3.52016
Equity,Infosys,IT - Software,3.5519,4.25805,3.6381,3.6465,3.75222,3.92408,3.76244,3.96333,4.14549,4.02447,3.70798
Equity,Shriram Finance,Finance,3.27033,3.44692,3.5355,3.73856,3.55741,3.80753,3.37873,2.90427,2.80687,2.81652,2.68814
Equity,HDFC Bank,Banks,3.19807,2.99742,1.71653,1.42348,1.47933,1.51557,2.44349,2.45922,2.71918,3.69278,3.0579
Equity,Tech Mahindra,IT - Software,3.01655,3.20975,2.8369,3.64947,3.24514,3.11922,2.95498,3.03529,3.49262,3.30064,3.32051
Equity,Axis Bank,Banks,2.97507,3.08599,3.31305,3.28753,2.96691,3.01438,2.93042,2.81052,2.66387,2.62478,2.82022
Equity,SBI,Banks,2.93715,1.60249,1.77135,1.59105,1.41348,1.07253,1.0359,0.79652,0.75184,0.71934,-
Equity,NTPC,Power Generation & Distribution,2.92508,3.0771,2.85628,2.66809,2.78311,2.7785,2.89405,3.05527,3.01644,2.96711,2.84583
Equity,ICICI Bank,Banks,2.90509,2.93058,1.87535,1.84666,1.7831,1.85847,1.8167,1.90199,2.28018,2.48257,3.2118
Equity,Multi Comm. Exc.,Financial Services,2.79111,2.54253,2.92309,3.27254,2.98269,2.81059,2.60257,2.29347,2.23093,2.23863,2.49144
Equity,PNB Housing,Finance,2.49577,2.0416,1.94765,1.94613,1.93662,1.6867,1.7461,1.69653,1.51919,0.9179,1.06121
Equity,Minda Corp,Auto Ancillaries,2.42721,2.67329,2.64602,2.68634,2.73997,2.89263,2.83091,2.98806,2.68612,2.56628,2.56584
Equity,Apollo Hospitals,Healthcare,2.30059,2.53202,2.40483,2.14454,1.97318,2.07136,1.70592,-,-,-,-
Equity,Swiggy,E-Commerce/App based Aggregator,2.24404,2.18986,2.09634,2.15638,2.2407,1.32559,0.88603,-,-,-,-
Equity,Adani Ports,Marine Port & Services,2.18771,1.9629,2.04912,2.30753,1.97772,2.05706,1.64301,1.53484,1.47323,1.48531,1.63313
Equity,B H E L,Capital Goods - Electrical Equipment,2.05278,1.96025,1.90589,1.89362,1.89091,1.92825,1.77619,1.66684,1.49211,1.64877,1.76265
Equity,Jindal Steel,Steel,1.95548,2.01604,1.50998,0.82257,1.01519,1.49523,2.08711,2.17449,1.98398,2.1366,1.99591
Equity,Grasim Inds,Textiles,1.73852,1.8026,1.58676,1.46375,1.19287,0.99186,1.36838,1.3631,1.50407,1.77891,1.76371
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,1.68699,1.61657,1.70767,1.5786,1.61651,1.6255,1.71787,1.88816,1.99434,1.77631,1.81866
Equity,LTM,IT - Software,1.68157,-,-,-,-,-,-,-,-,-,-
Equity,Tube Investments,Capital Goods-Non Electrical Equipment,1.63697,1.33274,1.31327,1.11606,0.85192,0.91452,1.00195,1.07242,1.05248,0.97309,1.01949
Equity,Ambuja Cements,Cement,1.63614,1.49189,1.45697,1.48844,1.4947,1.48974,1.71102,1.80216,1.82743,1.85377,1.80306
Equity,Adani Enterp.,Trading,1.62869,1.03597,-,-,-,-,-,-,-,-,-
Equity,Kotak Mah. Bank,Banks,1.55907,2.45384,2.59723,2.55749,2.32428,2.03779,2.03491,1.80415,1.82127,0.77365,1.31915
Equity,Granules India,Pharmaceuticals,1.53721,2.24984,2.02639,2.20129,2.27908,2.13418,2.19047,2.28372,2.23131,2.07501,2.07166
Equity,Angel One,Stock/ Commodity Brokers,1.42104,1.1865,1.09555,1.19617,1.07509,1.24981,1.16262,0.89088,0.94734,1.23107,1.32431
Equity,HDFC Life Insur.,Insurance,1.28969,1.47025,1.22012,1.12147,0.65949,0.67745,-,-,-,-,-
Equity,OneSource Speci.,Pharmaceuticals,1.19833,1.15072,0.94766,0.84224,1.24381,1.0608,1.29538,1.34348,1.41745,1.31325,0.99124
Equity,Sobha,Realty,1.14413,1.07369,1.2145,1.60281,1.57138,1.66832,1.77259,1.76387,1.67911,1.81062,1.58816
Equity,Vedanta Aluminiu,Other,1.0622,-,-,-,-,-,-,-,-,-,-
Equity,Astral,Plastic products,1.05919,1.63661,1.53794,1.36437,1.24996,1.30719,1.32764,0.96739,-,-,-
Equity,Hero Motocorp,Automobile,1.00089,1.73169,1.59496,1.549,1.57379,1.697,1.53762,1.58587,1.51295,1.31261,1.24955
Equity,Mphasis,IT - Software,0.93977,0.84406,-,-,0.41754,0.42385,-,-,-,-,-
Equity,Pitti Engg.,Capital Goods-Non Electrical Equipment,0.93304,0.74412,0.88635,0.76697,0.78186,0.83412,0.91538,1.00631,0.69441,0.67915,0.65292
Equity,SBI Life Insuran,Insurance,0.9277,1.02686,1.06037,1.04239,1.03407,1.00687,1.01074,0.96692,1.00049,1.067,1.02007
Equity,Aptus Value Hou.,Finance,0.92697,0.78543,0.75944,0.75624,0.74669,0.75253,0.76339,0.80303,-,-,-
Equity,Mahanagar Gas,Gas Distribution,0.90392,0.83651,0.99089,0.857,0.90102,0.9593,1.02994,1.09147,1.20583,1.26103,1.31834
Equity,Carborundum Uni.,Capital Goods-Non Electrical Equipment,0.90177,1.04688,1.00094,0.96037,1.01597,1.02506,1.08711,1.16634,1.17997,1.16111,1.15312
Equity,Sonata Software,IT - Software,0.89943,0.83742,0.96535,1.05809,1.16911,1.05786,1.10471,1.08014,1.12363,1.20997,1.17104
Equity,Pricol Ltd,Auto Ancillaries,0.86807,0.88235,0.93242,0.85111,0.99836,0.94886,0.81293,0.85854,0.75726,0.76574,0.77629
Equity,Bharat Electron,Aerospace & Defence,0.84999,1.30461,1.30454,1.14336,0.99139,1.02953,1.07514,1.06496,0.99936,0.32924,0.51433
Equity,NMDC,Mining & Mineral products,0.83742,0.80066,0.77304,0.76962,0.76792,0.68785,0.71169,-,-,-,-
Equity,Cyient,IT - Software,0.81644,0.79876,0.8743,1.0901,1.04312,1.05673,1.1033,1.13662,1.18856,1.18256,1.20996
Equity,Craftsman Auto,Auto Ancillaries,0.81571,0.83862,0.81496,0.79397,0.85413,0.78637,0.75463,0.80188,0.83728,0.78834,0.75374
Equity,P I Industries,Agro Chemicals,0.8122,0.81891,0.84588,0.86887,0.85786,0.9066,0.96386,0.9891,1.06737,1.18372,1.09416
Equity,Torrent Pharma.,Pharmaceuticals,0.79783,0.9114,1.22476,1.1218,1.06237,1.03469,0.99909,1.05655,1.07115,1.08532,0.64088
Equity,Asahi India Glas,Glass & Glass Products,0.79528,0.84508,0.8742,0.97435,0.96179,0.97476,0.88941,0.86164,-,-,-
Equity,Vedanta,Non Ferrous Metals,0.78295,2.13879,-,-,-,-,-,-,-,-,-
Equity,Power Mech Proj.,Infrastructure Developers & Operators,0.7255,0.50222,0.54229,0.54276,0.58417,0.61096,0.64716,0.73305,0.83501,0.8375,1.15638
Equity,Federal Bank,Banks,0.72478,0.74224,1.3223,1.42725,1.41871,1.48365,1.3735,0.95751,0.97636,0.99377,1.00154
Equity,Balrampur Chini,Sugar,0.72274,0.78113,0.6662,0.5963,0.6142,0.62346,0.84076,0.87215,1.0532,1.11148,1.07631
Equity,PCBL Chemical,Chemicals,0.70256,0.6627,0.76346,0.65773,0.72633,0.78943,0.88717,0.95641,0.88126,0.83217,0.64981
Equity,Larsen & Toubro,Infrastructure Developers & Operators,0.68439,1.07276,0.84486,0.77815,0.78728,1.08434,1.08383,1.02796,1.03815,1.35729,1.31118
Equity,Anant Raj,Realty,0.67047,0.63287,0.74456,0.71019,0.75092,0.7971,0.8992,1.22456,1.107,1.16678,1.12058
Equity,Cyient DLM,Electronics,0.66308,0.52034,0.53814,0.64613,0.69876,0.72692,0.77236,0.75307,0.77516,0.79534,0.80278
Equity,Bajaj Finserv,Finance,0.64346,0.6808,-,-,-,-,-,-,-,-,-
Equity,Strides Pharma,Pharmaceuticals,0.59462,0.60926,0.49843,0.51439,0.5145,0.50588,0.54322,0.4983,0.5382,0.52921,0.84285
Equity,Praj Industries,Capital Goods-Non Electrical Equipment,0.58791,0.51874,0.46718,0.42722,0.46278,0.45715,0.49254,0.50297,0.61211,0.70425,0.73449
Equity,Samhi Hotels,Hotels & Restaurants,0.49627,0.46103,0.52667,0.55011,0.57865,0.62543,0.66464,0.65914,0.51533,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,0.48375,0.95727,1.5182,1.39724,1.2471,1.33864,1.53455,1.51196,1.79117,2.12688,1.99901
Equity,DLF,Realty,0.45947,-,-,-,-,-,-,-,-,-,-
Equity,Canara Bank,Banks,0.4293,0.44588,0.51206,0.48068,0.94577,1.76332,1.60815,1.108,0.95428,0.95015,0.96849
Equity,VRL Logistics,Logistics,0.39289,0.41121,0.43951,0.42844,0.41471,0.42279,0.4401,0.44924,0.4454,0.50459,0.44899
Equity,Emami,FMCG,0.31604,0.31687,0.33568,0.35179,0.37448,0.37877,0.38504,0.40521,0.44312,-,-
Equity,Indiqube Spaces,Co-Working,0.28551,0.24977,0.28626,0.29308,-,-,-,-,-,-,-
Equity,Capillary Tech.,IT - Software,0.18688,0.18408,0.17781,0.21751,0.22732,0.21918,-,-,-,-,-
Equity,MALCO Energy,Other,0.17726,-,-,-,-,-,-,-,-,-,-
Equity,Adani Power,Power Generation & Distribution,0.13275,0.34208,0.28704,0.27792,-,-,-,-,-,-,-
Equity,Talwandi Sabo,Other,0.10469,-,-,-,-,-,-,-,-,-,-
Equity,Vedanta Iron & S,Other,0.05163,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors,Automobile,-,-,-,-,-,-,-,-,0.59275,0.56877,0.56249
Equity,The Ramco Cement,Cement,-,-,-,-,0.49357,0.83146,0.84467,0.6749,0.73572,0.79752,0.69729
Equity,Premier Energies,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,-,-,-,0.15671
Equity,Poonawalla Fin,Finance,-,-,-,-,-,-,-,-,0.85194,0.80351,0.84896
Equity,REC Ltd,Finance,-,-,-,-,-,-,-,0.8172,0.7872,0.8568,0.83512
Equity,SBI Cards,Finance,-,-,-,-,-,-,-,-,-,-,0.44807
