Positions Over Time - HDFC Value Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,ICICI Bank,Banks,6.47,6.86,6.98,7.15,6.93,7.15,6.98,7.33,7.69,7.96,7.67
Equity,HDFC Bank,Banks,5.45,5.74,6.19,6.58,6.87,6.96,6.88,6.94,7.03,7.55,7.39
Equity,Axis Bank,Banks,4.2,4.27,4.57,4.58,4.15,4.25,4.13,3.97,3.71,3.71,4.11
Equity,SBI,Banks,3.94,4.01,4.46,4.03,3.72,3.7,3.94,3.84,3.58,3.47,-
Equity,Bharti Airtel,Telecom-Service,3.35,3.52,3.3,3.42,3.58,3.56,3.78,3.62,4.21,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,2.88,2.79,3.03,2.76,2.8,2.78,2.78,2.64,2.63,2.6,2.59
Equity,Infosys,IT - Software,2.82,3.32,3.07,3.83,3.69,3.66,3.51,3.57,3.68,3.7,3.87
Equity,NTPC,Power Generation & Distribution,2.72,2.81,2.58,2.38,2.15,2.13,2.21,2.34,2.28,2.27,2.25
Equity,AU Small Finance,Banks,2.55,2.48,2.55,2.76,2.8,2.75,2.65,2.41,2.39,2.41,2.63
Equity,Bharat Electron,Aerospace & Defence,2.36,2.43,2.4,2.4,2.09,2.15,2.24,2.22,2.06,2.09,2.27
Equity,Reliance Industr,Refineries,2.35,2.05,1.89,1.87,2.06,2.05,1.96,1.89,1.13,-,-
Equity,Sun Pharma.Inds.,Pharmaceuticals,2.22,2.93,2.58,2.34,2.47,2.62,2.44,2.41,2.44,2.55,2.48
Equity,SBI Life Insuran,Insurance,2.11,2.29,2.34,2.27,2.26,2.18,2.18,2.09,2.14,2.13,2.1
Equity,Tech Mahindra,IT - Software,1.71,1.78,1.56,1.98,1.77,1.68,1.59,1.64,1.75,1.69,1.92
Equity,Phoenix Mills,Realty,1.61,1.53,1.5,1.5,1.62,1.52,1.48,1.43,1.4,1.35,1.41
Equity,Multi Comm. Exc.,Financial Services,1.58,1.41,1.28,1.31,1.13,1.02,0.93999,0.86,0.97,1.05,1.2
Equity,HCL Technologies,IT - Software,1.53,1.9,1.75,2.12,1.98,1.98,1.89,1.78,1.89,1.87,2.17
Equity,Prestige Estates,Realty,1.53,1.36,1.49,1.55,1.66,1.75,1.91,1.87,2.03,2.06,2.07
Equity,Lupin,Pharmaceuticals,1.49,1.75,1.55,1.44,1.38,1.35,1.29,1.31,1.32,1.11,1.1
Equity,Eternal,E-Commerce/App based Aggregator,1.48,1.43,1.3,1.43,1.02,-,-,-,-,-,-
Equity,Bosch,Auto Ancillaries,1.43,1.27,1.42,1.41,1.37,1.36,1.42,1.52,1.68,1.66,1.33
Equity,United Spirits,Alcoholic Beverages,1.42,1.45,1.46,1.43,1.48,1.49,1.48,1.43,1.44,1.25,1.32
Equity,Five-Star Bus.Fi,Finance,1.41,1.15,1.21,1.19,1.32,1.42,1.58,1.18,0.76,-,-
Equity,Britannia Inds.,FMCG,1.41,1.36,1.34,1.29,1.3,1.26,1.15,1.24,-,-,-
Equity,Eicher Motors,Automobile,1.36,1.4,1.51,1.33,1.34,1.29,1.29,1.35,1.19,1.04,1.06
Equity,PNB Housing,Finance,1.36,1.09,1.06,1.05,1.13,1.07,1.1,1.08,0.95,1.21,1.35
Equity,Godrej Consumer,FMCG,1.34,1.37,1.51,1.41,1.47,1.37,1.35,1.47,1.59,1.49,1.37
Equity,Maruti Suzuki,Automobile,1.31,1.34,1.36,1.33,1.48,1.41,1.06,1.1,1.03,0.86,0.83
Equity,Divi's Lab.,Pharmaceuticals,1.24,1.26,1.21,1.13,1.17,1.18,1.24,1.1,1.2,1.17,1.1
Equity,Max Financial,Miscellaneous,1.21,1.26,1.37,1.2,1.22,1.24,1.14,1.21,1.25,1.14,-
Equity,Bajaj Auto,Automobile,1.16,1.33,1.35,1.28,1.22,1.18,1.17,1.19,1.2,1.09,1.13
