Positions Over Time - JM Value Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,Godfrey Phillips,Tobacco Products,4.22094,4.02088,3.92968,3.59793,4.51334,4.2584,4.45113,4.94734,5.26725,4.18439,3.94703
Equity,Shriram Finance,Finance,3.96654,3.84305,4.31424,4.0689,4.00765,3.14791,2.03497,1.04616,0.6547,-,-
Equity,Larsen & Toubro,Infrastructure Developers & Operators,3.43289,3.67286,4.2695,4.02785,4.33575,4.18763,3.68871,3.3848,3.2721,3.34164,3.22843
Equity,Dr Reddy's Labs,Pharmaceuticals,3.42812,3.89591,3.0581,2.46418,2.37749,2.1538,1.49102,1.54008,1.31052,0.7175,-
Equity,Canara Bank,Banks,3.26163,3.42257,4.67765,4.24945,3.96577,3.76076,3.11328,1.35924,-,-,-
Equity,HDFC Bank,Banks,3.08433,3.34649,3.41484,3.80257,4.24646,4.84674,4.87776,3.41965,3.36115,3.41983,3.2469
Equity,Restaurant Brand,Quick Service Restaurant,3.08324,3.09158,2.88522,2.79228,2.56808,2.45688,2.58739,2.99445,3.05372,2.98536,2.89771
Equity,Jana Small Finan,Banks,3.05496,2.74862,2.42815,2.28394,2.49659,2.54665,2.55058,2.64808,2.66831,2.47305,2.55966
Equity,Hero Motocorp,Automobile,2.87168,3.26357,3.09496,2.97145,2.98496,3.12636,2.73901,1.42121,-,-,-
Equity,Infosys,IT - Software,2.79111,3.38053,2.95514,3.61725,3.37592,4.01807,3.81698,3.75306,3.32506,2.70764,2.85264
Equity,REC Ltd,Finance,2.66049,1.43798,1.01936,1.02896,0.37282,1.00505,1.66675,1.02415,0.94434,1.5153,1.65844
Equity,Tata Motors,Automobile,2.3404,2.59644,3.08241,2.19408,1.83794,1.06938,-,1.49471,1.77224,1.69267,1.67415
Equity,Bharti Airtel,Telecom-Service,2.2852,3.26145,3.72401,3.78324,3.7403,3.61799,3.04508,2.81435,2.77977,-,-
Equity,Whirlpool India,Consumer Durables,2.0959,1.92206,1.88668,0.93572,0.99991,1.15551,2.27616,2.91507,3.12638,3.07812,3.09435
Equity,CreditAcc. Gram.,Finance,2.08034,2.40603,2.35796,2.99898,2.86962,2.91972,3.03318,3.0497,3.09903,2.65145,2.45989
Equity,Hindalco Inds.,Non Ferrous Metals,2.05137,1.87796,1.54322,1.77554,1.04858,-,-,-,-,-,-
Equity,NTPC,Power Generation & Distribution,1.96265,1.82905,1.1129,-,-,-,-,-,-,-,-
Equity,H U D C O,Finance,1.95205,1.61424,1.84971,2.04511,2.34563,2.38435,2.30433,2.01035,1.88596,1.94832,2.08747
Equity,Power Grid Corpn,Power Generation & Distribution,1.92722,2.05163,-,-,-,-,-,-,-,-,-
Equity,Axis Bank,Banks,1.92013,2.41474,2.25839,1.85894,1.5917,1.29591,-,-,-,-,-
Equity,Carraro India,Auto Ancillaries,1.80137,1.70484,1.61311,1.57006,1.46893,1.47967,1.33546,1.17758,1.04068,1.16903,1.05972
Equity,JK Tyre & Indust,Tyres,1.78576,1.91705,2.26674,2.27982,2.51277,2.26332,2.13454,1.9648,1.73167,1.79785,1.89332
Equity,Arvind Ltd,Textiles,1.73797,1.69047,1.51273,1.19713,1.12821,1.21564,1.07275,1.03356,0.93839,1.01322,1.0828
Equity,Amber Enterp.,Consumer Durables,1.65211,2.04263,2.23076,1.79628,1.85534,2.02161,2.10115,2.13788,1.88672,1.98363,1.61431
Equity,Equitas Sma. Fin,Banks,1.62929,1.44302,1.5099,1.59483,1.3245,1.30747,1.13318,1.20643,1.04184,1.17839,1.27758
Equity,Tech Mahindra,IT - Software,1.61091,1.92363,2.26749,3.15267,2.82601,2.61209,2.39266,3.00717,3.12494,2.48023,2.73671
Equity,Apar Inds.,Capital Goods - Electrical Equipment,1.59323,1.52971,1.77476,1.46554,1.57538,1.94953,1.69369,2.04414,1.97241,2.1802,2.04365
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.53037,1.38495,1.62319,2.24973,2.48693,2.89752,3.07516,2.70644,2.55048,2.60042,2.37763
Equity,Cohance Life,Pharmaceuticals,1.5112,1.07894,0.93284,1.11289,1.42613,1.28936,1.63917,1.75784,1.72963,1.88164,1.74628
Equity,Aptus Value Hou.,Finance,1.48442,1.00103,1.19779,1.64057,1.53687,1.45687,1.57395,1.60183,1.56286,1.38399,0.99265
Equity,TCS,IT - Software,1.45319,2.07642,2.15199,2.4719,2.51266,2.38294,-,-,-,-,-
Equity,Indo Count Inds.,Textiles,1.41137,1.46725,1.31348,1.07703,1.19257,1.32746,1.07548,1.06362,0.89276,1.00644,1.10385
Equity,Travel Food,Quick Service Restaurant,1.39694,1.6014,1.31713,1.10428,1.12169,1.23905,1.18437,1.20188,1.11716,0.895,-
Equity,Titagarh Rail,Capital Goods-Non Electrical Equipment,1.33235,1.16043,1.33282,1.69445,1.70165,1.5285,1.66065,1.74368,1.61986,1.61947,1.69947
Equity,Garden Reach Sh.,Aerospace & Defence,1.27787,1.09389,1.13492,1.56234,1.02155,0.84857,-,-,-,-,-
Equity,The Ramco Cement,Cement,1.2458,1.84942,2.50219,2.40766,2.09771,2.62661,2.58005,2.46066,2.56765,2.7705,2.42254
Equity,Bharat Bijlee,Capital Goods - Electrical Equipment,1.17933,0.90176,1.02496,1.27519,1.12597,1.17396,1.19939,1.25851,1.01916,0.98128,0.97856
Equity,CARE Ratings,Credit Rating Agencies,1.03199,1.44084,1.40496,1.46368,1.35087,1.38715,2.16753,2.55494,2.60622,2.71418,2.72568
Equity,PVR Inox,Entertainment,0.99684,0.9805,0.95321,1.7276,1.66312,1.69547,1.8692,1.61901,1.65674,1.16502,0.90734
Equity,Kajaria Ceramics,Ceramic Products,0.99551,-,-,-,-,-,-,-,-,-,-
Equity,Tata Motors PVeh,Automobile,0.95143,0.82119,0.89206,-,-,0.7949,0.89126,-,-,-,-
Equity,Petronet LNG,Gas Distribution,0.88632,0.49738,0.63111,-,-,-,-,-,-,-,-
Equity,Paradeep Phosph.,Fertilizers,0.85904,0.81761,-,-,-,-,-,-,-,-,-
Equity,Finolex Cables,Cables,0.84915,0.76187,0.67023,-,-,-,-,-,-,-,-
Equity,Suraksha Diagno.,Healthcare,0.81218,0.74625,0.76038,0.72246,0.67711,0.71231,0.75498,0.71614,0.70333,0.68083,0.70432
Equity,Optiemus Infra.,Telecom-Handsets/Mobile,0.80575,0.6635,-,-,-,-,-,-,-,-,-
Equity,Kalpataru Proj.,Infrastructure Developers & Operators,0.77062,0.74608,0.98136,1.00726,1.39323,1.70742,1.86231,1.88016,1.8383,1.53393,1.67018
Equity,Swiggy,E-Commerce/App based Aggregator,0.75296,1.57532,1.53707,1.63517,1.84445,1.75073,1.93219,2.11231,2.32168,2.08096,1.83135
Equity,Jindal Saw,Capital Goods-Non Electrical Equipment,0.73889,0.64447,0.64822,0.79476,0.70193,0.65932,0.69265,1.0737,1.02592,1.04991,1.15011
Equity,Hindustan Zinc,Non Ferrous Metals,0.66999,-,-,-,-,-,-,-,-,-,-
Equity,TD Power Systems,Capital Goods - Electrical Equipment,0.60079,0.55507,0.51593,0.49834,0.49467,0.53055,0.51631,1.04327,0.87041,0.84888,0.79579
Equity,Jyoti CNC Auto.,Capital Goods-Non Electrical Equipment,0.59381,0.77425,1.37117,1.59352,1.80721,1.78853,1.4925,1.4841,1.56295,1.67868,1.66854
Equity,Spandana Sphoort,Finance,0.57945,0.5357,0.61912,0.53464,0.53012,0.50547,0.47291,0.47143,0.44935,0.4791,-
Equity,Fedbank Financi.,Finance,0.52973,0.60136,-,-,-,-,-,-,-,-,-
Equity,M & B Engineer.,Construction,0.52262,0.40789,0.45046,-,-,-,-,-,-,-,-
Equity,Exicom Tele-Sys.,Capital Goods - Electrical Equipment,0.48458,0.38237,0.4133,0.47807,0.55887,0.62766,0.8119,0.98787,0.95718,0.94602,0.93482
Equity,H P C L,Refineries,0.45363,-,-,-,-,-,1.12881,1.24009,1.47524,2.95442,3.15831
Equity,Spandana Spho.PP,Finance,0.25102,0.17629,0.2354,0.2159,0.22544,0.19162,0.16319,0.15735,0.10132,-,-
Equity,Suzlon Energy,Capital Goods - Electrical Equipment,-,-,-,-,-,-,1.16603,1.14922,1.46166,1.97164,2.53242
Equity,TML Commercial,Automobile,-,-,-,-,-,-,0.56682,-,-,-,-
Equity,Vedanta,Mining & Mineral products,-,-,3.43333,3.31285,2.71566,2.18392,1.75564,1.67494,1.48578,1.5427,1.86902
Equity,Vedanta,Non Ferrous Metals,-,3.72155,-,-,-,-,-,-,-,-,-
Equity,Zee Entertainmen,Entertainment,-,-,-,-,-,-,-,1.29076,1.30929,1.27952,1.51578
Equity,St Bk of India,Banks,-,-,-,-,-,-,-,-,-,-,1.109
Equity,Aadhar Hsg. Fin.,Finance,-,-,-,-,-,-,0.48622,0.72782,0.70469,0.58618,0.60556
Equity,Maruti Suzuki,Automobile,-,-,1.55862,1.98034,2.09364,1.93217,1.91921,1.60105,1.45121,1.1869,1.11754
Equity,Akums Drugs,Pharmaceuticals,-,-,-,-,-,-,-,-,-,-,0.34411
Equity,Aurobindo Pharma,Pharmaceuticals,-,-,-,-,-,-,-,-,0.95674,1.10375,1.05205
Equity,Bajaj Finance,Finance,-,-,-,1.05111,2.06225,2.10129,2.34775,2.27337,1.96246,2.44593,2.48857
Equity,Bayer Crop Sci.,Agro Chemicals,-,-,-,-,-,-,-,-,0.72645,1.21562,1.35423
Equity,Bharti Airtel,Telecomm-Service,-,-,-,-,-,-,-,-,-,2.70314,2.7167
Equity,Deepak Fertilis.,Chemicals,-,-,-,-,-,-,-,-,0.95313,1.83061,-
Equity,Deepak Fertiliz.,Chemicals,-,-,-,-,-,-,-,-,-,-,1.87159
Equity,Optiemus Infra.,Trading,-,-,0.78863,0.74335,0.86224,0.93357,0.94323,1.01563,0.89207,0.92211,0.932
Equity,Dhanuka Agritech,Agro Chemicals,-,-,-,-,-,-,0.33746,0.86334,1.47973,2.14447,1.87773
Equity,Godrej Consumer,FMCG,-,-,-,-,-,-,1.49145,2.03899,2.31566,2.45857,2.30924
Equity,Gokaldas Exports,Readymade Garments/ Apparells,-,-,-,-,1.01926,1.78532,1.57456,1.36689,1.25501,1.52052,1.62351
Equity,Hindustan Copper,Non Ferrous Metals,-,-,-,-,-,-,-,0.98717,-,-,-
Equity,ICICI Bank,Banks,-,-,-,-,-,-,1.46222,1.75038,2.05716,2.4405,2.60603
Equity,IndusInd Bank,Banks,-,0.41722,0.44609,0.25324,-,-,-,-,-,-,-
Equity,M & B Engineer.,Engineering,-,-,-,0.46629,0.51996,0.51332,0.29171,0.4972,0.55153,0.47074,-
Equity,Engineers India,Infrastructure Developers & Operators,-,-,-,-,0.32916,0.36159,0.91758,1.00508,1.48125,2.01259,2.59913
Net CA & Others,Net CA & Others,Debt Others,2.76647,0.09135,-0.21502,0.09296,0.12182,-0.13339,0.34816,0.11537,0.84112,0.16747,0.94095
Reverse Repo,C C I,Debt Others,1.99246,0.67737,0.33539,1.27969,0.43554,0.39975,0.10818,0.11392,1.22959,0.1911,0.25261
Rights,Spandana Sphoort,Debt Others,-,-,-,-,-,-,-,-,-,0.01738,-
