ngen_name,nse_symbol,bse_code,isin,matched_name,match_score,yf_ticker,match_method
Hind.Dorr-Oliver,,JAIHIND,INE156E01014,JAIHIND INDUSTRIES LIMITED,65.45454545454547,JAIHIND.BO,fuzzy
Nihon Nirmaan,AIRAN,AIRAN,INE645W01026,AIRAN LIMITED,67.5,AIRAN.NS,fuzzy
Assoc.Alcohols,,ASIIL,INE443A01030,ASI INDUSTRIES LIMITED,72.0,ASIIL.BO,fuzzy
Manpasand Bever.,MANAKSIA,MANAKSIA,INE015D01022,MANAKSIA LTD.,72.0,MANAKSIA.NS,fuzzy
Ellen.Indl.Gas,,INDXTRA,INE056E01024,IEL LIMITED,72.0,INDXTRA.BO,fuzzy
Magnasound,MAXIND,MAXIND,INE0CG601016,Max India Limited,72.0,MAXIND.NS,fuzzy
Wellwin Inds.,,WEWIN,INE082W01014,We Win Limited,76.92307692307692,WEWIN.BO,fuzzy
Akzo Nobel,BEML,BEML,INE258A01024,BEML LTD.,77.14285714285715,BEML.NS,fuzzy
Sundaram Fin.Hol,SUNDARMFIN,SUNDARMFIN,INE660A01013,SUNDARAM FINANCE LTD.,77.41935483870968,SUNDARMFIN.NS,fuzzy
Godavari Bioref.,GODAVARIB,GODAVARIB,INE497S01012,Godavari Biorefineries Limited,81.08108108108108,GODAVARIB.NS,fuzzy
Diffusion Eng,DIFFNKG,DIFFNKG,INE184O01015,Diffusion Engineers Limited,81.25,DIFFNKG.NS,fuzzy
Kaveri Seed Co.,KSCL,KSCL,INE455I01029,KAVERI SEED COMPANY LTD.,81.4814814814815,KSCL.NS,fuzzy
Edelweiss.Fin.,EDELWEISS,EDELWEISS,INE532F01054,EDELWEISS FINANCIAL SERVICES L,82.5,EDELWEISS.NS,fuzzy
Zydus Lifesci.,ZYDUSLIFE,ZYDUSLIFE,INE010B01027,Zydus Lifesciences Limited,83.87096774193549,ZYDUSLIFE.NS,fuzzy
Birla Corpn.,BIRLACORPN,BIRLACORPN,INE340A01012,BIRLA CORPORATION LTD.,84.0,BIRLACORPN.NS,fuzzy
Tirrihannah Co.,TTL,TTL,INE592B01024,T T LTD.,85.5,TTL.NS,fuzzy
